epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.5465
1,2026,location,1,r2,0.3555
1,2026,location,2,r2,0.3452
1,2026,location,mean,r2,0.4157
2,2026,location,0,r2,0.5947
2,2026,location,1,r2,0.5514
2,2026,location,2,r2,0.4353
2,2026,location,mean,r2,0.5271
3,2026,location,0,r2,0.6508
3,2026,location,1,r2,0.6069
3,2026,location,2,r2,0.5038
3,2026,location,mean,r2,0.5872
4,2026,location,0,r2,0.6904
4,2026,location,1,r2,0.6394
4,2026,location,2,r2,0.5373
4,2026,location,mean,r2,0.6224
5,2026,location,0,r2,0.7238
5,2026,location,1,r2,0.6789
5,2026,location,2,r2,0.5517
5,2026,location,mean,r2,0.6514
6,2026,location,0,r2,0.7392
6,2026,location,1,r2,0.708
6,2026,location,2,r2,0.5906
6,2026,location,mean,r2,0.6793
7,2026,location,0,r2,0.7451
7,2026,location,1,r2,0.7311
7,2026,location,2,r2,0.5881
7,2026,location,mean,r2,0.6881
8,2026,location,0,r2,0.7678
8,2026,location,1,r2,0.7327
8,2026,location,2,r2,0.5941
8,2026,location,mean,r2,0.6982
9,2026,location,0,r2,0.765
9,2026,location,1,r2,0.7255
9,2026,location,2,r2,0.6156
9,2026,location,mean,r2,0.702
10,2026,location,0,r2,0.797
10,2026,location,1,r2,0.7364
10,2026,location,2,r2,0.5942
10,2026,location,mean,r2,0.7092
1,2027,location,0,r2,0.4628
1,2027,location,1,r2,0.3598
1,2027,location,2,r2,0.3443
1,2027,location,mean,r2,0.389
2,2027,location,0,r2,0.6146
2,2027,location,1,r2,0.5504
2,2027,location,2,r2,0.3483
2,2027,location,mean,r2,0.5044
3,2027,location,0,r2,0.6389
3,2027,location,1,r2,0.5661
3,2027,location,2,r2,0.4336
3,2027,location,mean,r2,0.5462
4,2027,location,0,r2,0.6637
4,2027,location,1,r2,0.6226
4,2027,location,2,r2,0.4338
4,2027,location,mean,r2,0.5734
5,2027,location,0,r2,0.6781
5,2027,location,1,r2,0.6406
5,2027,location,2,r2,0.4536
5,2027,location,mean,r2,0.5908
6,2027,location,0,r2,0.7047
6,2027,location,1,r2,0.6564
6,2027,location,2,r2,0.4806
6,2027,location,mean,r2,0.6139
7,2027,location,0,r2,0.7002
7,2027,location,1,r2,0.663
7,2027,location,2,r2,0.5192
7,2027,location,mean,r2,0.6275
8,2027,location,0,r2,0.696
8,2027,location,1,r2,0.6712
8,2027,location,2,r2,0.5361
8,2027,location,mean,r2,0.6344
9,2027,location,0,r2,0.7167
9,2027,location,1,r2,0.6926
9,2027,location,2,r2,0.5635
9,2027,location,mean,r2,0.6576
10,2027,location,0,r2,0.7375
10,2027,location,1,r2,0.682
10,2027,location,2,r2,0.5589
10,2027,location,mean,r2,0.6595
1,2028,location,0,r2,0.422
1,2028,location,1,r2,0.342
1,2028,location,2,r2,0.3337
1,2028,location,mean,r2,0.3659
2,2028,location,0,r2,0.5783
2,2028,location,1,r2,0.5152
2,2028,location,2,r2,0.4172
2,2028,location,mean,r2,0.5036
3,2028,location,0,r2,0.6013
3,2028,location,1,r2,0.5907
3,2028,location,2,r2,0.4446
3,2028,location,mean,r2,0.5455
4,2028,location,0,r2,0.6113
4,2028,location,1,r2,0.5834
4,2028,location,2,r2,0.4708
4,2028,location,mean,r2,0.5552
5,2028,location,0,r2,0.6128
5,2028,location,1,r2,0.6041
5,2028,location,2,r2,0.5211
5,2028,location,mean,r2,0.5793
6,2028,location,0,r2,0.6338
6,2028,location,1,r2,0.6453
6,2028,location,2,r2,0.545
6,2028,location,mean,r2,0.608
7,2028,location,0,r2,0.6523
7,2028,location,1,r2,0.6562
7,2028,location,2,r2,0.5393
7,2028,location,mean,r2,0.6159
8,2028,location,0,r2,0.6463
8,2028,location,1,r2,0.6596
8,2028,location,2,r2,0.5825
8,2028,location,mean,r2,0.6295
9,2028,location,0,r2,0.6556
9,2028,location,1,r2,0.6782
9,2028,location,2,r2,0.5984
9,2028,location,mean,r2,0.644
10,2028,location,0,r2,0.6442
10,2028,location,1,r2,0.6748
10,2028,location,2,r2,0.5815
10,2028,location,mean,r2,0.6335
