epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9244
1,2026,disease,Arterial wall calcification,auroc,0.9313
1,2026,disease,Cardiomegaly,auroc,0.9327
1,2026,disease,Pericardial effusion,auroc,0.8521
1,2026,disease,Coronary artery wall calcification,auroc,0.9338
1,2026,disease,Hiatal hernia,auroc,0.705
1,2026,disease,Lymphadenopathy,auroc,0.755
1,2026,disease,Emphysema,auroc,0.8004
1,2026,disease,Atelectasis,auroc,0.8171
1,2026,disease,Lung nodule,auroc,0.7457
1,2026,disease,Lung opacity,auroc,0.8691
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7371
1,2026,disease,Pleural effusion,auroc,0.9638
1,2026,disease,Mosaic attenuation pattern,auroc,0.8842
1,2026,disease,Peribronchial thickening,auroc,0.8205
1,2026,disease,Consolidation,auroc,0.9218
1,2026,disease,Bronchiectasis,auroc,0.7939
1,2026,disease,Interlobular septal thickening,auroc,0.8784
1,2026,disease,macro,auroc,0.8481
1,2026,disease,micro,auroc,0.8552
2,2026,disease,Medical material,auroc,0.9276
2,2026,disease,Arterial wall calcification,auroc,0.9299
2,2026,disease,Cardiomegaly,auroc,0.9283
2,2026,disease,Pericardial effusion,auroc,0.8605
2,2026,disease,Coronary artery wall calcification,auroc,0.9307
2,2026,disease,Hiatal hernia,auroc,0.701
2,2026,disease,Lymphadenopathy,auroc,0.7585
2,2026,disease,Emphysema,auroc,0.8046
2,2026,disease,Atelectasis,auroc,0.815
2,2026,disease,Lung nodule,auroc,0.7452
2,2026,disease,Lung opacity,auroc,0.8698
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7413
2,2026,disease,Pleural effusion,auroc,0.967
2,2026,disease,Mosaic attenuation pattern,auroc,0.884
2,2026,disease,Peribronchial thickening,auroc,0.811
2,2026,disease,Consolidation,auroc,0.9238
2,2026,disease,Bronchiectasis,auroc,0.8034
2,2026,disease,Interlobular septal thickening,auroc,0.8733
2,2026,disease,macro,auroc,0.8486
2,2026,disease,micro,auroc,0.8589
3,2026,disease,Medical material,auroc,0.9302
3,2026,disease,Arterial wall calcification,auroc,0.9315
3,2026,disease,Cardiomegaly,auroc,0.9318
3,2026,disease,Pericardial effusion,auroc,0.8484
3,2026,disease,Coronary artery wall calcification,auroc,0.9311
3,2026,disease,Hiatal hernia,auroc,0.7136
3,2026,disease,Lymphadenopathy,auroc,0.7547
3,2026,disease,Emphysema,auroc,0.7959
3,2026,disease,Atelectasis,auroc,0.8109
3,2026,disease,Lung nodule,auroc,0.7428
3,2026,disease,Lung opacity,auroc,0.8696
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7409
3,2026,disease,Pleural effusion,auroc,0.9635
3,2026,disease,Mosaic attenuation pattern,auroc,0.883
3,2026,disease,Peribronchial thickening,auroc,0.8058
3,2026,disease,Consolidation,auroc,0.9282
3,2026,disease,Bronchiectasis,auroc,0.7989
3,2026,disease,Interlobular septal thickening,auroc,0.8759
3,2026,disease,macro,auroc,0.8476
3,2026,disease,micro,auroc,0.8596
4,2026,disease,Medical material,auroc,0.9358
4,2026,disease,Arterial wall calcification,auroc,0.9302
4,2026,disease,Cardiomegaly,auroc,0.9342
4,2026,disease,Pericardial effusion,auroc,0.8643
4,2026,disease,Coronary artery wall calcification,auroc,0.9331
4,2026,disease,Hiatal hernia,auroc,0.7107
4,2026,disease,Lymphadenopathy,auroc,0.7584
4,2026,disease,Emphysema,auroc,0.8048
4,2026,disease,Atelectasis,auroc,0.8186
4,2026,disease,Lung nodule,auroc,0.7438
4,2026,disease,Lung opacity,auroc,0.8694
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7467
4,2026,disease,Pleural effusion,auroc,0.9671
4,2026,disease,Mosaic attenuation pattern,auroc,0.8854
4,2026,disease,Peribronchial thickening,auroc,0.8068
4,2026,disease,Consolidation,auroc,0.9256
4,2026,disease,Bronchiectasis,auroc,0.8011
4,2026,disease,Interlobular septal thickening,auroc,0.8751
4,2026,disease,macro,auroc,0.8506
4,2026,disease,micro,auroc,0.8605
5,2026,disease,Medical material,auroc,0.9291
5,2026,disease,Arterial wall calcification,auroc,0.9303
5,2026,disease,Cardiomegaly,auroc,0.9328
5,2026,disease,Pericardial effusion,auroc,0.8573
5,2026,disease,Coronary artery wall calcification,auroc,0.9322
5,2026,disease,Hiatal hernia,auroc,0.7097
5,2026,disease,Lymphadenopathy,auroc,0.7603
5,2026,disease,Emphysema,auroc,0.8039
5,2026,disease,Atelectasis,auroc,0.8171
5,2026,disease,Lung nodule,auroc,0.7403
5,2026,disease,Lung opacity,auroc,0.8693
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.7459
5,2026,disease,Pleural effusion,auroc,0.9661
5,2026,disease,Mosaic attenuation pattern,auroc,0.8855
5,2026,disease,Peribronchial thickening,auroc,0.8129
5,2026,disease,Consolidation,auroc,0.9266
5,2026,disease,Bronchiectasis,auroc,0.7985
5,2026,disease,Interlobular septal thickening,auroc,0.8769
5,2026,disease,macro,auroc,0.8497
5,2026,disease,micro,auroc,0.8549
6,2026,disease,Medical material,auroc,0.9267
6,2026,disease,Arterial wall calcification,auroc,0.932
6,2026,disease,Cardiomegaly,auroc,0.9318
6,2026,disease,Pericardial effusion,auroc,0.8553
6,2026,disease,Coronary artery wall calcification,auroc,0.9311
6,2026,disease,Hiatal hernia,auroc,0.715
6,2026,disease,Lymphadenopathy,auroc,0.7559
6,2026,disease,Emphysema,auroc,0.8135
6,2026,disease,Atelectasis,auroc,0.8184
6,2026,disease,Lung nodule,auroc,0.7443
6,2026,disease,Lung opacity,auroc,0.8695
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.7456
6,2026,disease,Pleural effusion,auroc,0.9669
6,2026,disease,Mosaic attenuation pattern,auroc,0.888
6,2026,disease,Peribronchial thickening,auroc,0.8081
6,2026,disease,Consolidation,auroc,0.924
6,2026,disease,Bronchiectasis,auroc,0.8073
6,2026,disease,Interlobular septal thickening,auroc,0.8801
6,2026,disease,macro,auroc,0.8508
6,2026,disease,micro,auroc,0.8583
7,2026,disease,Medical material,auroc,0.933
7,2026,disease,Arterial wall calcification,auroc,0.9314
7,2026,disease,Cardiomegaly,auroc,0.9304
7,2026,disease,Pericardial effusion,auroc,0.8537
7,2026,disease,Coronary artery wall calcification,auroc,0.9334
7,2026,disease,Hiatal hernia,auroc,0.716
7,2026,disease,Lymphadenopathy,auroc,0.7535
7,2026,disease,Emphysema,auroc,0.8112
7,2026,disease,Atelectasis,auroc,0.8188
7,2026,disease,Lung nodule,auroc,0.7422
7,2026,disease,Lung opacity,auroc,0.8687
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.744
7,2026,disease,Pleural effusion,auroc,0.9644
7,2026,disease,Mosaic attenuation pattern,auroc,0.8878
7,2026,disease,Peribronchial thickening,auroc,0.8095
7,2026,disease,Consolidation,auroc,0.9224
7,2026,disease,Bronchiectasis,auroc,0.8059
7,2026,disease,Interlobular septal thickening,auroc,0.8737
7,2026,disease,macro,auroc,0.85
7,2026,disease,micro,auroc,0.8627
8,2026,disease,Medical material,auroc,0.93
8,2026,disease,Arterial wall calcification,auroc,0.9299
8,2026,disease,Cardiomegaly,auroc,0.9319
8,2026,disease,Pericardial effusion,auroc,0.8515
8,2026,disease,Coronary artery wall calcification,auroc,0.9306
8,2026,disease,Hiatal hernia,auroc,0.7087
8,2026,disease,Lymphadenopathy,auroc,0.7571
8,2026,disease,Emphysema,auroc,0.8085
8,2026,disease,Atelectasis,auroc,0.8161
8,2026,disease,Lung nodule,auroc,0.738
8,2026,disease,Lung opacity,auroc,0.8669
8,2026,disease,Pulmonary fibrotic sequela,auroc,0.7478
8,2026,disease,Pleural effusion,auroc,0.9629
8,2026,disease,Mosaic attenuation pattern,auroc,0.8869
8,2026,disease,Peribronchial thickening,auroc,0.8095
8,2026,disease,Consolidation,auroc,0.9187
8,2026,disease,Bronchiectasis,auroc,0.8124
8,2026,disease,Interlobular septal thickening,auroc,0.8749
8,2026,disease,macro,auroc,0.849
8,2026,disease,micro,auroc,0.8622
9,2026,disease,Medical material,auroc,0.9344
9,2026,disease,Arterial wall calcification,auroc,0.9312
9,2026,disease,Cardiomegaly,auroc,0.9327
9,2026,disease,Pericardial effusion,auroc,0.8537
9,2026,disease,Coronary artery wall calcification,auroc,0.9341
9,2026,disease,Hiatal hernia,auroc,0.72
9,2026,disease,Lymphadenopathy,auroc,0.7549
9,2026,disease,Emphysema,auroc,0.813
9,2026,disease,Atelectasis,auroc,0.8196
9,2026,disease,Lung nodule,auroc,0.7455
9,2026,disease,Lung opacity,auroc,0.8671
9,2026,disease,Pulmonary fibrotic sequela,auroc,0.7483
9,2026,disease,Pleural effusion,auroc,0.966
9,2026,disease,Mosaic attenuation pattern,auroc,0.8963
9,2026,disease,Peribronchial thickening,auroc,0.8036
9,2026,disease,Consolidation,auroc,0.9243
9,2026,disease,Bronchiectasis,auroc,0.8103
9,2026,disease,Interlobular septal thickening,auroc,0.8762
9,2026,disease,macro,auroc,0.8517
9,2026,disease,micro,auroc,0.8592
10,2026,disease,Medical material,auroc,0.9349
10,2026,disease,Arterial wall calcification,auroc,0.9305
10,2026,disease,Cardiomegaly,auroc,0.9317
10,2026,disease,Pericardial effusion,auroc,0.8624
10,2026,disease,Coronary artery wall calcification,auroc,0.9322
