seed,epoch,family,score
2026,1,density,0.7268
2026,1,disease,0.8481
2026,1,location,0.3706
2026,1,radiomics,0.6283
2026,1,size,0.6372
2026,2,density,0.7454
2026,2,disease,0.8486
2026,2,location,0.4063
2026,2,radiomics,0.6207
2026,2,size,0.6562
2026,3,density,0.7552
2026,3,disease,0.8476
2026,3,location,0.4422
2026,3,radiomics,0.6435
2026,3,size,0.6728
2026,4,density,0.7695
2026,4,disease,0.8506
2026,4,location,0.464
2026,4,radiomics,0.667
2026,4,size,0.6794
2026,5,density,0.773
2026,5,disease,0.8497
2026,5,location,0.4746
2026,5,radiomics,0.6896
2026,5,size,0.6876
2026,6,density,0.7877
2026,6,disease,0.8508
2026,6,location,0.5033
2026,6,radiomics,0.6823
2026,6,size,0.693
2026,7,density,0.7886
2026,7,disease,0.85
2026,7,location,0.4879
2026,7,radiomics,0.6832
2026,7,size,0.6855
2026,8,density,0.8007
2026,8,disease,0.849
2026,8,location,0.4879
2026,8,radiomics,0.7088
2026,8,size,0.6809
2026,9,density,0.8053
2026,9,disease,0.8517
2026,9,location,0.5018
2026,9,radiomics,0.6749
2026,9,size,0.6884
2026,10,density,0.8106
2026,10,disease,0.8511
2026,10,location,0.4892
2026,10,radiomics,0.7238
2026,10,size,0.6957
2027,1,density,0.7224
2027,1,disease,0.8475
2027,1,location,0.3283
2027,1,radiomics,0.6132
2027,1,size,0.6363
2027,2,density,0.7471
2027,2,disease,0.8493
2027,2,location,0.3842
2027,2,radiomics,0.6503
2027,2,size,0.6579
2027,3,density,0.76
2027,3,disease,0.8492
2027,3,location,0.4119
2027,3,radiomics,0.6661
2027,3,size,0.6613
2027,4,density,0.7797
2027,4,disease,0.8501
2027,4,location,0.4264
2027,4,radiomics,0.6629
2027,4,size,0.6651
2027,5,density,0.7906
2027,5,disease,0.851
2027,5,location,0.4518
2027,5,radiomics,0.6736
2027,5,size,0.6796
2027,6,density,0.7925
2027,6,disease,0.8496
2027,6,location,0.4595
2027,6,radiomics,0.6792
2027,6,size,0.6738
2027,7,density,0.7991
2027,7,disease,0.8501
2027,7,location,0.4762
2027,7,radiomics,0.6634
2027,7,size,0.674
2027,8,density,0.8074
2027,8,disease,0.8501
2027,8,location,0.4967
2027,8,radiomics,0.6854
2027,8,size,0.6834
2027,9,density,0.8146
2027,9,disease,0.8509
2027,9,location,0.4869
2027,9,radiomics,0.6891
2027,9,size,0.6736
2027,10,density,0.8209
2027,10,disease,0.8494
2027,10,location,0.5087
2027,10,radiomics,0.6957
2027,10,size,0.6759
2028,1,density,0.7165
2028,1,disease,0.8486
2028,1,location,0.3096
2028,1,radiomics,0.6294
2028,1,size,0.6482
2028,2,density,0.7493
2028,2,disease,0.8518
2028,2,location,0.3973
2028,2,radiomics,0.6497
2028,2,size,0.6741
2028,3,density,0.7621
2028,3,disease,0.8511
2028,3,location,0.4165
2028,3,radiomics,0.6584
2028,3,size,0.671
2028,4,density,0.783
2028,4,disease,0.8526
2028,4,location,0.4235
2028,4,radiomics,0.6725
2028,4,size,0.6819
2028,5,density,0.7836
2028,5,disease,0.8499
2028,5,location,0.4433
2028,5,radiomics,0.6696
2028,5,size,0.6782
2028,6,density,0.8013
2028,6,disease,0.8505
2028,6,location,0.4511
2028,6,radiomics,0.6766
2028,6,size,0.6844
2028,7,density,0.7923
2028,7,disease,0.8509
2028,7,location,0.4668
2028,7,radiomics,0.6871
2028,7,size,0.6833
2028,8,density,0.8078
2028,8,disease,0.8498
2028,8,location,0.4747
2028,8,radiomics,0.7046
2028,8,size,0.6861
2028,9,density,0.8056
2028,9,disease,0.8505
2028,9,location,0.4721
2028,9,radiomics,0.6891
2028,9,size,0.688
2028,10,density,0.8121
2028,10,disease,0.8492
2028,10,location,0.4684
2028,10,radiomics,0.6942
2028,10,size,0.6844
