epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.8033
1,2026,density,1,r2,0.3231
1,2026,density,2,r2,0.9271
1,2026,density,3,r2,0.9009
1,2026,density,mean,r2,0.7386
2,2026,density,0,r2,0.8165
2,2026,density,1,r2,0.3659
2,2026,density,2,r2,0.9181
2,2026,density,3,r2,0.9081
2,2026,density,mean,r2,0.7521
3,2026,density,0,r2,0.8302
3,2026,density,1,r2,0.4133
3,2026,density,2,r2,0.9259
3,2026,density,3,r2,0.9187
3,2026,density,mean,r2,0.772
4,2026,density,0,r2,0.8291
4,2026,density,1,r2,0.3883
4,2026,density,2,r2,0.935
4,2026,density,3,r2,0.9213
4,2026,density,mean,r2,0.7684
5,2026,density,0,r2,0.8413
5,2026,density,1,r2,0.4392
5,2026,density,2,r2,0.94
5,2026,density,3,r2,0.9255
5,2026,density,mean,r2,0.7865
6,2026,density,0,r2,0.8353
6,2026,density,1,r2,0.4837
6,2026,density,2,r2,0.9495
6,2026,density,3,r2,0.933
6,2026,density,mean,r2,0.8004
7,2026,density,0,r2,0.8398
7,2026,density,1,r2,0.5189
7,2026,density,2,r2,0.9506
7,2026,density,3,r2,0.9306
7,2026,density,mean,r2,0.81
8,2026,density,0,r2,0.8279
8,2026,density,1,r2,0.5576
8,2026,density,2,r2,0.9506
8,2026,density,3,r2,0.9343
8,2026,density,mean,r2,0.8176
9,2026,density,0,r2,0.8461
9,2026,density,1,r2,0.5687
9,2026,density,2,r2,0.9497
9,2026,density,3,r2,0.9342
9,2026,density,mean,r2,0.8247
10,2026,density,0,r2,0.8499
10,2026,density,1,r2,0.5776
10,2026,density,2,r2,0.9565
10,2026,density,3,r2,0.9377
10,2026,density,mean,r2,0.8304
1,2027,density,0,r2,0.7955
1,2027,density,1,r2,0.3014
1,2027,density,2,r2,0.9142
1,2027,density,3,r2,0.8943
1,2027,density,mean,r2,0.7264
2,2027,density,0,r2,0.8168
2,2027,density,1,r2,0.362
2,2027,density,2,r2,0.9282
2,2027,density,3,r2,0.9115
2,2027,density,mean,r2,0.7546
3,2027,density,0,r2,0.8238
3,2027,density,1,r2,0.426
3,2027,density,2,r2,0.9357
3,2027,density,3,r2,0.9096
3,2027,density,mean,r2,0.7738
4,2027,density,0,r2,0.8201
4,2027,density,1,r2,0.4725
4,2027,density,2,r2,0.9394
4,2027,density,3,r2,0.9197
4,2027,density,mean,r2,0.7879
5,2027,density,0,r2,0.8245
5,2027,density,1,r2,0.5171
5,2027,density,2,r2,0.9346
5,2027,density,3,r2,0.9221
5,2027,density,mean,r2,0.7996
6,2027,density,0,r2,0.8325
6,2027,density,1,r2,0.5145
6,2027,density,2,r2,0.9376
6,2027,density,3,r2,0.9258
6,2027,density,mean,r2,0.8026
7,2027,density,0,r2,0.8189
7,2027,density,1,r2,0.5319
7,2027,density,2,r2,0.9498
7,2027,density,3,r2,0.9289
7,2027,density,mean,r2,0.8074
8,2027,density,0,r2,0.8204
8,2027,density,1,r2,0.571
8,2027,density,2,r2,0.9464
8,2027,density,3,r2,0.9278
8,2027,density,mean,r2,0.8164
9,2027,density,0,r2,0.83
9,2027,density,1,r2,0.5929
9,2027,density,2,r2,0.9447
9,2027,density,3,r2,0.9309
9,2027,density,mean,r2,0.8246
10,2027,density,0,r2,0.8359
10,2027,density,1,r2,0.577
10,2027,density,2,r2,0.9532
10,2027,density,3,r2,0.9296
10,2027,density,mean,r2,0.8239
1,2028,density,0,r2,0.7833
1,2028,density,1,r2,0.2993
1,2028,density,2,r2,0.9027
1,2028,density,3,r2,0.8894
1,2028,density,mean,r2,0.7187
2,2028,density,0,r2,0.8181
2,2028,density,1,r2,0.3627
2,2028,density,2,r2,0.9202
2,2028,density,3,r2,0.8848
2,2028,density,mean,r2,0.7465
3,2028,density,0,r2,0.809
3,2028,density,1,r2,0.405
3,2028,density,2,r2,0.9314
3,2028,density,3,r2,0.9198
3,2028,density,mean,r2,0.7663
4,2028,density,0,r2,0.8109
4,2028,density,1,r2,0.4383
4,2028,density,2,r2,0.9407
4,2028,density,3,r2,0.9266
4,2028,density,mean,r2,0.7791
5,2028,density,0,r2,0.827
5,2028,density,1,r2,0.4502
5,2028,density,2,r2,0.9387
5,2028,density,3,r2,0.9227
5,2028,density,mean,r2,0.7846
6,2028,density,0,r2,0.8396
6,2028,density,1,r2,0.4813
6,2028,density,2,r2,0.9482
6,2028,density,3,r2,0.9292
6,2028,density,mean,r2,0.7996
7,2028,density,0,r2,0.8234
7,2028,density,1,r2,0.5475
7,2028,density,2,r2,0.941
7,2028,density,3,r2,0.9319
7,2028,density,mean,r2,0.8109
8,2028,density,0,r2,0.841
8,2028,density,1,r2,0.4946
8,2028,density,2,r2,0.947
8,2028,density,3,r2,0.9296
8,2028,density,mean,r2,0.8031
9,2028,density,0,r2,0.8396
9,2028,density,1,r2,0.5858
9,2028,density,2,r2,0.9387
9,2028,density,3,r2,0.9202
9,2028,density,mean,r2,0.8211
10,2028,density,0,r2,0.8308
10,2028,density,1,r2,0.5435
10,2028,density,2,r2,0.9539
10,2028,density,3,r2,0.9308
10,2028,density,mean,r2,0.8148
