epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.9127
1,2026,radiomics,1,r2,0.1751
1,2026,radiomics,2,r2,0.8247
1,2026,radiomics,mean,r2,0.6375
2,2026,radiomics,0,r2,0.9094
2,2026,radiomics,1,r2,0.1838
2,2026,radiomics,2,r2,0.8436
2,2026,radiomics,mean,r2,0.6456
3,2026,radiomics,0,r2,0.9287
3,2026,radiomics,1,r2,0.2194
3,2026,radiomics,2,r2,0.8557
3,2026,radiomics,mean,r2,0.668
4,2026,radiomics,0,r2,0.9203
4,2026,radiomics,1,r2,0.2501
4,2026,radiomics,2,r2,0.8668
4,2026,radiomics,mean,r2,0.679
5,2026,radiomics,0,r2,0.923
5,2026,radiomics,1,r2,0.2226
5,2026,radiomics,2,r2,0.8601
5,2026,radiomics,mean,r2,0.6686
6,2026,radiomics,0,r2,0.9349
6,2026,radiomics,1,r2,0.2558
6,2026,radiomics,2,r2,0.8735
6,2026,radiomics,mean,r2,0.688
7,2026,radiomics,0,r2,0.9167
7,2026,radiomics,1,r2,0.2606
7,2026,radiomics,2,r2,0.8753
7,2026,radiomics,mean,r2,0.6842
8,2026,radiomics,0,r2,0.9284
8,2026,radiomics,1,r2,0.3503
8,2026,radiomics,2,r2,0.8843
8,2026,radiomics,mean,r2,0.721
9,2026,radiomics,0,r2,0.9246
9,2026,radiomics,1,r2,0.3312
9,2026,radiomics,2,r2,0.8702
9,2026,radiomics,mean,r2,0.7087
10,2026,radiomics,0,r2,0.9189
10,2026,radiomics,1,r2,0.3317
10,2026,radiomics,2,r2,0.8842
10,2026,radiomics,mean,r2,0.7116
1,2027,radiomics,0,r2,0.9139
1,2027,radiomics,1,r2,0.1533
1,2027,radiomics,2,r2,0.8235
1,2027,radiomics,mean,r2,0.6303
2,2027,radiomics,0,r2,0.9224
2,2027,radiomics,1,r2,0.2166
2,2027,radiomics,2,r2,0.8554
2,2027,radiomics,mean,r2,0.6648
3,2027,radiomics,0,r2,0.9125
3,2027,radiomics,1,r2,0.241
3,2027,radiomics,2,r2,0.8678
3,2027,radiomics,mean,r2,0.6738
4,2027,radiomics,0,r2,0.9186
4,2027,radiomics,1,r2,0.2618
4,2027,radiomics,2,r2,0.861
4,2027,radiomics,mean,r2,0.6804
5,2027,radiomics,0,r2,0.9254
5,2027,radiomics,1,r2,0.2892
5,2027,radiomics,2,r2,0.8707
5,2027,radiomics,mean,r2,0.6951
6,2027,radiomics,0,r2,0.9286
6,2027,radiomics,1,r2,0.2836
6,2027,radiomics,2,r2,0.8623
6,2027,radiomics,mean,r2,0.6915
7,2027,radiomics,0,r2,0.9209
7,2027,radiomics,1,r2,0.2805
7,2027,radiomics,2,r2,0.88
7,2027,radiomics,mean,r2,0.6938
8,2027,radiomics,0,r2,0.9288
8,2027,radiomics,1,r2,0.3203
8,2027,radiomics,2,r2,0.8611
8,2027,radiomics,mean,r2,0.7034
9,2027,radiomics,0,r2,0.9284
9,2027,radiomics,1,r2,0.3197
9,2027,radiomics,2,r2,0.8645
9,2027,radiomics,mean,r2,0.7042
10,2027,radiomics,0,r2,0.929
10,2027,radiomics,1,r2,0.344
10,2027,radiomics,2,r2,0.8768
10,2027,radiomics,mean,r2,0.7166
1,2028,radiomics,0,r2,0.8945
1,2028,radiomics,1,r2,0.1795
1,2028,radiomics,2,r2,0.84
1,2028,radiomics,mean,r2,0.638
2,2028,radiomics,0,r2,0.9226
2,2028,radiomics,1,r2,0.2103
2,2028,radiomics,2,r2,0.8612
2,2028,radiomics,mean,r2,0.6647
3,2028,radiomics,0,r2,0.9246
3,2028,radiomics,1,r2,0.2349
3,2028,radiomics,2,r2,0.8576
3,2028,radiomics,mean,r2,0.6724
4,2028,radiomics,0,r2,0.9258
4,2028,radiomics,1,r2,0.2629
4,2028,radiomics,2,r2,0.8666
4,2028,radiomics,mean,r2,0.6851
5,2028,radiomics,0,r2,0.9106
5,2028,radiomics,1,r2,0.2754
5,2028,radiomics,2,r2,0.873
5,2028,radiomics,mean,r2,0.6863
6,2028,radiomics,0,r2,0.9228
6,2028,radiomics,1,r2,0.3043
6,2028,radiomics,2,r2,0.8729
6,2028,radiomics,mean,r2,0.7
7,2028,radiomics,0,r2,0.9292
7,2028,radiomics,1,r2,0.2979
7,2028,radiomics,2,r2,0.8779
7,2028,radiomics,mean,r2,0.7017
8,2028,radiomics,0,r2,0.9205
8,2028,radiomics,1,r2,0.3454
8,2028,radiomics,2,r2,0.8778
8,2028,radiomics,mean,r2,0.7146
9,2028,radiomics,0,r2,0.9286
9,2028,radiomics,1,r2,0.3073
9,2028,radiomics,2,r2,0.8793
9,2028,radiomics,mean,r2,0.7051
10,2028,radiomics,0,r2,0.934
10,2028,radiomics,1,r2,0.3352
10,2028,radiomics,2,r2,0.8883
10,2028,radiomics,mean,r2,0.7192
