epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.86
1,2026,size,1,r2,0.512
1,2026,size,2,r2,0.4652
1,2026,size,3,r2,0.6317
1,2026,size,4,r2,0.7118
1,2026,size,mean,r2,0.6361
2,2026,size,0,r2,0.8727
2,2026,size,1,r2,0.5441
2,2026,size,2,r2,0.5009
2,2026,size,3,r2,0.6293
2,2026,size,4,r2,0.7338
2,2026,size,mean,r2,0.6561
3,2026,size,0,r2,0.886
3,2026,size,1,r2,0.5603
3,2026,size,2,r2,0.5076
3,2026,size,3,r2,0.6405
3,2026,size,4,r2,0.7346
3,2026,size,mean,r2,0.6658
4,2026,size,0,r2,0.8858
4,2026,size,1,r2,0.5641
4,2026,size,2,r2,0.5192
4,2026,size,3,r2,0.6507
4,2026,size,4,r2,0.7521
4,2026,size,mean,r2,0.6744
5,2026,size,0,r2,0.8923
5,2026,size,1,r2,0.5825
5,2026,size,2,r2,0.5238
5,2026,size,3,r2,0.6565
5,2026,size,4,r2,0.7567
5,2026,size,mean,r2,0.6823
6,2026,size,0,r2,0.8929
6,2026,size,1,r2,0.5866
6,2026,size,2,r2,0.5249
6,2026,size,3,r2,0.6466
6,2026,size,4,r2,0.7631
6,2026,size,mean,r2,0.6828
7,2026,size,0,r2,0.8913
7,2026,size,1,r2,0.5925
7,2026,size,2,r2,0.529
7,2026,size,3,r2,0.6485
7,2026,size,4,r2,0.7546
7,2026,size,mean,r2,0.6832
8,2026,size,0,r2,0.8732
8,2026,size,1,r2,0.5769
8,2026,size,2,r2,0.5123
8,2026,size,3,r2,0.6474
8,2026,size,4,r2,0.7615
8,2026,size,mean,r2,0.6743
9,2026,size,0,r2,0.8917
9,2026,size,1,r2,0.5751
9,2026,size,2,r2,0.5291
9,2026,size,3,r2,0.6533
9,2026,size,4,r2,0.7539
9,2026,size,mean,r2,0.6806
10,2026,size,0,r2,0.8899
10,2026,size,1,r2,0.5859
10,2026,size,2,r2,0.5307
10,2026,size,3,r2,0.653
10,2026,size,4,r2,0.7624
10,2026,size,mean,r2,0.6844
1,2027,size,0,r2,0.8476
1,2027,size,1,r2,0.5392
1,2027,size,2,r2,0.4662
1,2027,size,3,r2,0.6421
1,2027,size,4,r2,0.7079
1,2027,size,mean,r2,0.6406
2,2027,size,0,r2,0.8639
2,2027,size,1,r2,0.5398
2,2027,size,2,r2,0.5093
2,2027,size,3,r2,0.6374
2,2027,size,4,r2,0.7233
2,2027,size,mean,r2,0.6547
3,2027,size,0,r2,0.8784
3,2027,size,1,r2,0.5657
3,2027,size,2,r2,0.5117
3,2027,size,3,r2,0.6419
3,2027,size,4,r2,0.7351
3,2027,size,mean,r2,0.6665
4,2027,size,0,r2,0.8715
4,2027,size,1,r2,0.5556
4,2027,size,2,r2,0.5157
4,2027,size,3,r2,0.6478
4,2027,size,4,r2,0.7473
4,2027,size,mean,r2,0.6676
5,2027,size,0,r2,0.8743
5,2027,size,1,r2,0.5855
5,2027,size,2,r2,0.5314
5,2027,size,3,r2,0.6463
5,2027,size,4,r2,0.7466
5,2027,size,mean,r2,0.6768
6,2027,size,0,r2,0.8882
6,2027,size,1,r2,0.5603
6,2027,size,2,r2,0.5321
6,2027,size,3,r2,0.6484
6,2027,size,4,r2,0.7521
6,2027,size,mean,r2,0.6762
7,2027,size,0,r2,0.8933
7,2027,size,1,r2,0.5624
7,2027,size,2,r2,0.5099
7,2027,size,3,r2,0.6473
7,2027,size,4,r2,0.7557
7,2027,size,mean,r2,0.6737
8,2027,size,0,r2,0.8855
8,2027,size,1,r2,0.5866
8,2027,size,2,r2,0.513
8,2027,size,3,r2,0.6545
8,2027,size,4,r2,0.7656
8,2027,size,mean,r2,0.681
9,2027,size,0,r2,0.8903
9,2027,size,1,r2,0.5739
9,2027,size,2,r2,0.5163
9,2027,size,3,r2,0.6533
9,2027,size,4,r2,0.7551
9,2027,size,mean,r2,0.6778
10,2027,size,0,r2,0.881
10,2027,size,1,r2,0.5779
10,2027,size,2,r2,0.5252
10,2027,size,3,r2,0.6419
10,2027,size,4,r2,0.7545
10,2027,size,mean,r2,0.6761
1,2028,size,0,r2,0.8645
1,2028,size,1,r2,0.5316
1,2028,size,2,r2,0.4817
1,2028,size,3,r2,0.6212
1,2028,size,4,r2,0.7299
1,2028,size,mean,r2,0.6458
2,2028,size,0,r2,0.8654
2,2028,size,1,r2,0.5711
2,2028,size,2,r2,0.5062
2,2028,size,3,r2,0.6424
2,2028,size,4,r2,0.7495
2,2028,size,mean,r2,0.6669
3,2028,size,0,r2,0.8775
3,2028,size,1,r2,0.537
3,2028,size,2,r2,0.4968
3,2028,size,3,r2,0.638
3,2028,size,4,r2,0.742
3,2028,size,mean,r2,0.6583
4,2028,size,0,r2,0.8893
4,2028,size,1,r2,0.557
4,2028,size,2,r2,0.4992
4,2028,size,3,r2,0.6459
4,2028,size,4,r2,0.7604
4,2028,size,mean,r2,0.6704
5,2028,size,0,r2,0.8819
5,2028,size,1,r2,0.5639
5,2028,size,2,r2,0.523
5,2028,size,3,r2,0.644
5,2028,size,4,r2,0.7462
5,2028,size,mean,r2,0.6718
6,2028,size,0,r2,0.8764
6,2028,size,1,r2,0.5625
6,2028,size,2,r2,0.5217
6,2028,size,3,r2,0.6566
6,2028,size,4,r2,0.758
6,2028,size,mean,r2,0.675
7,2028,size,0,r2,0.8834
7,2028,size,1,r2,0.5872
7,2028,size,2,r2,0.524
7,2028,size,3,r2,0.65
7,2028,size,4,r2,0.7673
7,2028,size,mean,r2,0.6824
8,2028,size,0,r2,0.8901
8,2028,size,1,r2,0.5907
8,2028,size,2,r2,0.5207
8,2028,size,3,r2,0.6496
8,2028,size,4,r2,0.7586
8,2028,size,mean,r2,0.6819
9,2028,size,0,r2,0.8908
9,2028,size,1,r2,0.5875
9,2028,size,2,r2,0.5283
9,2028,size,3,r2,0.6424
9,2028,size,4,r2,0.7644
9,2028,size,mean,r2,0.6827
10,2028,size,0,r2,0.8801
10,2028,size,1,r2,0.5801
10,2028,size,2,r2,0.5131
