epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.1939
1,2026,density_merlin,1,r2,0.3855
1,2026,density_merlin,2,r2,0.0469
1,2026,density_merlin,mean,r2,0.2088
2,2026,density_merlin,0,r2,0.4627
2,2026,density_merlin,1,r2,0.627
2,2026,density_merlin,2,r2,0.0699
2,2026,density_merlin,mean,r2,0.3866
3,2026,density_merlin,0,r2,0.6242
3,2026,density_merlin,1,r2,0.6887
3,2026,density_merlin,2,r2,0.1475
3,2026,density_merlin,mean,r2,0.4868
4,2026,density_merlin,0,r2,0.68
4,2026,density_merlin,1,r2,0.7379
4,2026,density_merlin,2,r2,0.2094
4,2026,density_merlin,mean,r2,0.5424
5,2026,density_merlin,0,r2,0.6972
5,2026,density_merlin,1,r2,0.7286
5,2026,density_merlin,2,r2,0.2559
5,2026,density_merlin,mean,r2,0.5605
6,2026,density_merlin,0,r2,0.6682
6,2026,density_merlin,1,r2,0.7412
6,2026,density_merlin,2,r2,0.2867
6,2026,density_merlin,mean,r2,0.5654
7,2026,density_merlin,0,r2,0.7235
7,2026,density_merlin,1,r2,0.7629
7,2026,density_merlin,2,r2,0.2419
7,2026,density_merlin,mean,r2,0.5761
8,2026,density_merlin,0,r2,0.6451
8,2026,density_merlin,1,r2,0.7827
8,2026,density_merlin,2,r2,0.3477
8,2026,density_merlin,mean,r2,0.5918
9,2026,density_merlin,0,r2,0.7442
9,2026,density_merlin,1,r2,0.7454
9,2026,density_merlin,2,r2,0.3328
9,2026,density_merlin,mean,r2,0.6075
10,2026,density_merlin,0,r2,0.7025
10,2026,density_merlin,1,r2,0.7871
10,2026,density_merlin,2,r2,0.309
10,2026,density_merlin,mean,r2,0.5995
1,2027,density_merlin,0,r2,0.3447
1,2027,density_merlin,1,r2,0.5827
1,2027,density_merlin,2,r2,0.0455
1,2027,density_merlin,mean,r2,0.3243
2,2027,density_merlin,0,r2,0.5802
2,2027,density_merlin,1,r2,0.6844
2,2027,density_merlin,2,r2,0.0605
2,2027,density_merlin,mean,r2,0.4417
3,2027,density_merlin,0,r2,0.6633
3,2027,density_merlin,1,r2,0.7358
3,2027,density_merlin,2,r2,0.0923
3,2027,density_merlin,mean,r2,0.4971
4,2027,density_merlin,0,r2,0.7052
4,2027,density_merlin,1,r2,0.7299
4,2027,density_merlin,2,r2,0.143
4,2027,density_merlin,mean,r2,0.526
5,2027,density_merlin,0,r2,0.7461
5,2027,density_merlin,1,r2,0.7781
5,2027,density_merlin,2,r2,0.1983
5,2027,density_merlin,mean,r2,0.5742
6,2027,density_merlin,0,r2,0.7182
6,2027,density_merlin,1,r2,0.7751
6,2027,density_merlin,2,r2,0.3334
6,2027,density_merlin,mean,r2,0.6089
7,2027,density_merlin,0,r2,0.7556
7,2027,density_merlin,1,r2,0.7868
7,2027,density_merlin,2,r2,0.3744
7,2027,density_merlin,mean,r2,0.6389
8,2027,density_merlin,0,r2,0.7541
8,2027,density_merlin,1,r2,0.7892
8,2027,density_merlin,2,r2,0.3837
8,2027,density_merlin,mean,r2,0.6423
9,2027,density_merlin,0,r2,0.7151
9,2027,density_merlin,1,r2,0.785
9,2027,density_merlin,2,r2,0.4442
9,2027,density_merlin,mean,r2,0.6481
10,2027,density_merlin,0,r2,0.7838
10,2027,density_merlin,1,r2,0.7987
10,2027,density_merlin,2,r2,0.4416
10,2027,density_merlin,mean,r2,0.6747
1,2028,density_merlin,0,r2,0.3766
1,2028,density_merlin,1,r2,0.5961
1,2028,density_merlin,2,r2,0.0549
1,2028,density_merlin,mean,r2,0.3425
2,2028,density_merlin,0,r2,0.5103
2,2028,density_merlin,1,r2,0.6201
2,2028,density_merlin,2,r2,0.0615
2,2028,density_merlin,mean,r2,0.3973
3,2028,density_merlin,0,r2,0.6429
3,2028,density_merlin,1,r2,0.7021
3,2028,density_merlin,2,r2,0.1174
3,2028,density_merlin,mean,r2,0.4875
4,2028,density_merlin,0,r2,0.6626
4,2028,density_merlin,1,r2,0.7158
4,2028,density_merlin,2,r2,0.1765
4,2028,density_merlin,mean,r2,0.5183
5,2028,density_merlin,0,r2,0.6794
5,2028,density_merlin,1,r2,0.7628
5,2028,density_merlin,2,r2,0.1786
5,2028,density_merlin,mean,r2,0.5403
6,2028,density_merlin,0,r2,0.685
6,2028,density_merlin,1,r2,0.748
6,2028,density_merlin,2,r2,0.29
6,2028,density_merlin,mean,r2,0.5743
7,2028,density_merlin,0,r2,0.6989
7,2028,density_merlin,1,r2,0.7801
7,2028,density_merlin,2,r2,0.3552
7,2028,density_merlin,mean,r2,0.6114
8,2028,density_merlin,0,r2,0.7393
8,2028,density_merlin,1,r2,0.7824
8,2028,density_merlin,2,r2,0.3482
8,2028,density_merlin,mean,r2,0.6233
9,2028,density_merlin,0,r2,0.6776
9,2028,density_merlin,1,r2,0.7392
9,2028,density_merlin,2,r2,0.3897
9,2028,density_merlin,mean,r2,0.6022
10,2028,density_merlin,0,r2,0.7044
10,2028,density_merlin,1,r2,0.7674
10,2028,density_merlin,2,r2,0.4337
10,2028,density_merlin,mean,r2,0.6352
