epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.2337
1,2026,location_merlin,1,r2,0.0812
1,2026,location_merlin,2,r2,0.1199
1,2026,location_merlin,mean,r2,0.1449
2,2026,location_merlin,0,r2,0.5273
2,2026,location_merlin,1,r2,0.2759
2,2026,location_merlin,2,r2,0.107
2,2026,location_merlin,mean,r2,0.3034
3,2026,location_merlin,0,r2,0.6184
3,2026,location_merlin,1,r2,0.4255
3,2026,location_merlin,2,r2,0.1212
3,2026,location_merlin,mean,r2,0.3884
4,2026,location_merlin,0,r2,0.63
4,2026,location_merlin,1,r2,0.5275
4,2026,location_merlin,2,r2,0.1414
4,2026,location_merlin,mean,r2,0.433
5,2026,location_merlin,0,r2,0.6325
5,2026,location_merlin,1,r2,0.5672
5,2026,location_merlin,2,r2,0.1621
5,2026,location_merlin,mean,r2,0.4539
6,2026,location_merlin,0,r2,0.6692
6,2026,location_merlin,1,r2,0.605
6,2026,location_merlin,2,r2,0.1683
6,2026,location_merlin,mean,r2,0.4809
7,2026,location_merlin,0,r2,0.6179
7,2026,location_merlin,1,r2,0.6279
7,2026,location_merlin,2,r2,0.1844
7,2026,location_merlin,mean,r2,0.4767
8,2026,location_merlin,0,r2,0.6132
8,2026,location_merlin,1,r2,0.6424
8,2026,location_merlin,2,r2,0.2154
8,2026,location_merlin,mean,r2,0.4903
9,2026,location_merlin,0,r2,0.7101
9,2026,location_merlin,1,r2,0.6585
9,2026,location_merlin,2,r2,0.2336
9,2026,location_merlin,mean,r2,0.5341
10,2026,location_merlin,0,r2,0.6986
10,2026,location_merlin,1,r2,0.6547
10,2026,location_merlin,2,r2,0.2455
10,2026,location_merlin,mean,r2,0.5329
1,2027,location_merlin,0,r2,0.3403
1,2027,location_merlin,1,r2,0.1508
1,2027,location_merlin,2,r2,0.0756
1,2027,location_merlin,mean,r2,0.1889
2,2027,location_merlin,0,r2,0.505
2,2027,location_merlin,1,r2,0.232
2,2027,location_merlin,2,r2,0.0944
2,2027,location_merlin,mean,r2,0.2772
3,2027,location_merlin,0,r2,0.5454
3,2027,location_merlin,1,r2,0.2639
3,2027,location_merlin,2,r2,0.1716
3,2027,location_merlin,mean,r2,0.327
4,2027,location_merlin,0,r2,0.5492
4,2027,location_merlin,1,r2,0.2885
4,2027,location_merlin,2,r2,0.1928
4,2027,location_merlin,mean,r2,0.3435
5,2027,location_merlin,0,r2,0.5876
5,2027,location_merlin,1,r2,0.3239
5,2027,location_merlin,2,r2,0.2169
5,2027,location_merlin,mean,r2,0.3761
6,2027,location_merlin,0,r2,0.6156
6,2027,location_merlin,1,r2,0.3457
6,2027,location_merlin,2,r2,0.2422
6,2027,location_merlin,mean,r2,0.4011
7,2027,location_merlin,0,r2,0.5984
7,2027,location_merlin,1,r2,0.3618
7,2027,location_merlin,2,r2,0.2496
7,2027,location_merlin,mean,r2,0.4033
8,2027,location_merlin,0,r2,0.6281
8,2027,location_merlin,1,r2,0.3169
8,2027,location_merlin,2,r2,0.2619
8,2027,location_merlin,mean,r2,0.4023
9,2027,location_merlin,0,r2,0.6022
9,2027,location_merlin,1,r2,0.3858
9,2027,location_merlin,2,r2,0.2497
9,2027,location_merlin,mean,r2,0.4126
10,2027,location_merlin,0,r2,0.6286
10,2027,location_merlin,1,r2,0.4028
10,2027,location_merlin,2,r2,0.2724
10,2027,location_merlin,mean,r2,0.4346
1,2028,location_merlin,0,r2,0.3666
1,2028,location_merlin,1,r2,0.0821
1,2028,location_merlin,2,r2,0.1195
1,2028,location_merlin,mean,r2,0.1894
2,2028,location_merlin,0,r2,0.511
2,2028,location_merlin,1,r2,0.2637
2,2028,location_merlin,2,r2,0.2366
2,2028,location_merlin,mean,r2,0.3371
3,2028,location_merlin,0,r2,0.6274
3,2028,location_merlin,1,r2,0.5025
3,2028,location_merlin,2,r2,0.3143
3,2028,location_merlin,mean,r2,0.4814
4,2028,location_merlin,0,r2,0.6042
4,2028,location_merlin,1,r2,0.5348
4,2028,location_merlin,2,r2,0.3118
4,2028,location_merlin,mean,r2,0.4836
5,2028,location_merlin,0,r2,0.652
5,2028,location_merlin,1,r2,0.5237
5,2028,location_merlin,2,r2,0.3572
5,2028,location_merlin,mean,r2,0.511
6,2028,location_merlin,0,r2,0.64
6,2028,location_merlin,1,r2,0.4648
6,2028,location_merlin,2,r2,0.4007
6,2028,location_merlin,mean,r2,0.5018
7,2028,location_merlin,0,r2,0.6839
7,2028,location_merlin,1,r2,0.5428
7,2028,location_merlin,2,r2,0.4102
7,2028,location_merlin,mean,r2,0.5456
8,2028,location_merlin,0,r2,0.6683
8,2028,location_merlin,1,r2,0.5774
8,2028,location_merlin,2,r2,0.4181
8,2028,location_merlin,mean,r2,0.5546
9,2028,location_merlin,0,r2,0.6981
9,2028,location_merlin,1,r2,0.5709
9,2028,location_merlin,2,r2,0.4189
9,2028,location_merlin,mean,r2,0.5626
10,2028,location_merlin,0,r2,0.6484
10,2028,location_merlin,1,r2,0.6249
10,2028,location_merlin,2,r2,0.3796
10,2028,location_merlin,mean,r2,0.551
