epoch,seed,family,target,metric,score
1,2026,disease_merlin,submucosal_edema,auroc,0.7512
1,2026,disease_merlin,renal_hypodensities,auroc,0.7098
1,2026,disease_merlin,aortic_valve_calcification,auroc,0.8637
1,2026,disease_merlin,coronary_calcification,auroc,0.7429
1,2026,disease_merlin,thrombosis,auroc,0.631
1,2026,disease_merlin,metastatic_disease,auroc,0.7964
1,2026,disease_merlin,pancreatic_atrophy,auroc,0.7837
1,2026,disease_merlin,renal_cyst,auroc,0.6847
1,2026,disease_merlin,osteopenia,auroc,0.9173
1,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.6946
1,2026,disease_merlin,atelectasis,auroc,0.7742
1,2026,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8216
1,2026,disease_merlin,anasarca,auroc,0.958
1,2026,disease_merlin,hiatal_hernia,auroc,0.769
1,2026,disease_merlin,lymphadenopathy,auroc,0.6176
1,2026,disease_merlin,prostatomegaly,auroc,0.7311
1,2026,disease_merlin,biliary_ductal_dilation,auroc,0.757
1,2026,disease_merlin,cardiomegaly,auroc,0.776
1,2026,disease_merlin,splenomegaly,auroc,0.7393
1,2026,disease_merlin,hepatomegaly,auroc,0.7252
1,2026,disease_merlin,atherosclerosis,auroc,0.7455
1,2026,disease_merlin,ascites,auroc,0.9148
1,2026,disease_merlin,pleural_effusion,auroc,0.8234
1,2026,disease_merlin,hepatic_steatosis,auroc,0.7349
1,2026,disease_merlin,appendicitis,auroc,0.551
1,2026,disease_merlin,gallstones,auroc,0.6374
1,2026,disease_merlin,hydronephrosis,auroc,0.7025
1,2026,disease_merlin,bowel_obstruction,auroc,0.6973
1,2026,disease_merlin,free_air,auroc,0.7873
1,2026,disease_merlin,fracture,auroc,0.7196
1,2026,disease_merlin,macro,auroc,0.7519
1,2026,disease_merlin,micro,auroc,0.7422
2,2026,disease_merlin,submucosal_edema,auroc,0.7563
2,2026,disease_merlin,renal_hypodensities,auroc,0.7152
2,2026,disease_merlin,aortic_valve_calcification,auroc,0.8707
2,2026,disease_merlin,coronary_calcification,auroc,0.7507
2,2026,disease_merlin,thrombosis,auroc,0.6902
2,2026,disease_merlin,metastatic_disease,auroc,0.7676
2,2026,disease_merlin,pancreatic_atrophy,auroc,0.793
2,2026,disease_merlin,renal_cyst,auroc,0.6955
2,2026,disease_merlin,osteopenia,auroc,0.9322
2,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.7028
