epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.4146
1,2026,size_merlin,1,r2,0.3655
1,2026,size_merlin,2,r2,0.2367
1,2026,size_merlin,3,r2,0.2709
1,2026,size_merlin,4,r2,0.2844
1,2026,size_merlin,5,r2,0.0964
1,2026,size_merlin,mean,r2,0.2781
2,2026,size_merlin,0,r2,0.7168
2,2026,size_merlin,1,r2,0.6589
2,2026,size_merlin,2,r2,0.3404
2,2026,size_merlin,3,r2,0.3531
2,2026,size_merlin,4,r2,0.3453
2,2026,size_merlin,5,r2,0.1521
2,2026,size_merlin,mean,r2,0.4278
3,2026,size_merlin,0,r2,0.7558
3,2026,size_merlin,1,r2,0.6961
3,2026,size_merlin,2,r2,0.3838
3,2026,size_merlin,3,r2,0.392
3,2026,size_merlin,4,r2,0.4104
3,2026,size_merlin,5,r2,0.1661
3,2026,size_merlin,mean,r2,0.4674
4,2026,size_merlin,0,r2,0.7482
4,2026,size_merlin,1,r2,0.688
4,2026,size_merlin,2,r2,0.3775
4,2026,size_merlin,3,r2,0.3804
4,2026,size_merlin,4,r2,0.4147
4,2026,size_merlin,5,r2,0.1579
4,2026,size_merlin,mean,r2,0.4611
5,2026,size_merlin,0,r2,0.7347
5,2026,size_merlin,1,r2,0.6838
5,2026,size_merlin,2,r2,0.4009
5,2026,size_merlin,3,r2,0.419
5,2026,size_merlin,4,r2,0.4384
5,2026,size_merlin,5,r2,0.1859
5,2026,size_merlin,mean,r2,0.4771
6,2026,size_merlin,0,r2,0.7765
6,2026,size_merlin,1,r2,0.7073
6,2026,size_merlin,2,r2,0.4415
6,2026,size_merlin,3,r2,0.43
6,2026,size_merlin,4,r2,0.3878
6,2026,size_merlin,5,r2,0.1816
6,2026,size_merlin,mean,r2,0.4875
7,2026,size_merlin,0,r2,0.7788
7,2026,size_merlin,1,r2,0.7101
7,2026,size_merlin,2,r2,0.455
7,2026,size_merlin,3,r2,0.4038
7,2026,size_merlin,4,r2,0.4538
7,2026,size_merlin,5,r2,0.1968
7,2026,size_merlin,mean,r2,0.4997
8,2026,size_merlin,0,r2,0.7708
8,2026,size_merlin,1,r2,0.6992
8,2026,size_merlin,2,r2,0.4226
8,2026,size_merlin,3,r2,0.453
8,2026,size_merlin,4,r2,0.4241
8,2026,size_merlin,5,r2,0.2006
8,2026,size_merlin,mean,r2,0.495
9,2026,size_merlin,0,r2,0.7944
9,2026,size_merlin,1,r2,0.6905
