epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.1425
1,2026,density_merlin,1,r2,0.4148
1,2026,density_merlin,2,r2,0.0355
1,2026,density_merlin,mean,r2,0.1976
2,2026,density_merlin,0,r2,0.4624
2,2026,density_merlin,1,r2,0.6285
2,2026,density_merlin,2,r2,0.0471
2,2026,density_merlin,mean,r2,0.3793
3,2026,density_merlin,0,r2,0.5876
3,2026,density_merlin,1,r2,0.6365
3,2026,density_merlin,2,r2,0.0872
3,2026,density_merlin,mean,r2,0.4371
4,2026,density_merlin,0,r2,0.6362
4,2026,density_merlin,1,r2,0.675
4,2026,density_merlin,2,r2,0.0996
4,2026,density_merlin,mean,r2,0.4703
5,2026,density_merlin,0,r2,0.6762
5,2026,density_merlin,1,r2,0.7086
5,2026,density_merlin,2,r2,0.1009
5,2026,density_merlin,mean,r2,0.4952
6,2026,density_merlin,0,r2,0.7076
6,2026,density_merlin,1,r2,0.7376
6,2026,density_merlin,2,r2,0.1827
6,2026,density_merlin,mean,r2,0.5426
7,2026,density_merlin,0,r2,0.6992
7,2026,density_merlin,1,r2,0.7674
7,2026,density_merlin,2,r2,0.236
7,2026,density_merlin,mean,r2,0.5675
8,2026,density_merlin,0,r2,0.7346
8,2026,density_merlin,1,r2,0.7608
8,2026,density_merlin,2,r2,0.3357
8,2026,density_merlin,mean,r2,0.6104
9,2026,density_merlin,0,r2,0.749
9,2026,density_merlin,1,r2,0.7819
9,2026,density_merlin,2,r2,0.3356
9,2026,density_merlin,mean,r2,0.6222
10,2026,density_merlin,0,r2,0.7512
10,2026,density_merlin,1,r2,0.7619
10,2026,density_merlin,2,r2,0.3919
10,2026,density_merlin,mean,r2,0.635
1,2027,density_merlin,0,r2,0.3087
1,2027,density_merlin,1,r2,0.4893
1,2027,density_merlin,2,r2,0.061
1,2027,density_merlin,mean,r2,0.2863
2,2027,density_merlin,0,r2,0.4532
2,2027,density_merlin,1,r2,0.6133
2,2027,density_merlin,2,r2,0.0957
2,2027,density_merlin,mean,r2,0.3874
3,2027,density_merlin,0,r2,0.3609
3,2027,density_merlin,1,r2,0.6758
3,2027,density_merlin,2,r2,0.1257
3,2027,density_merlin,mean,r2,0.3875
4,2027,density_merlin,0,r2,0.6609
4,2027,density_merlin,1,r2,0.7227
4,2027,density_merlin,2,r2,0.1022
4,2027,density_merlin,mean,r2,0.4953
5,2027,density_merlin,0,r2,0.6623
5,2027,density_merlin,1,r2,0.7397
5,2027,density_merlin,2,r2,0.2613
5,2027,density_merlin,mean,r2,0.5544
6,2027,density_merlin,0,r2,0.7032
6,2027,density_merlin,1,r2,0.727
6,2027,density_merlin,2,r2,0.2738
6,2027,density_merlin,mean,r2,0.568
7,2027,density_merlin,0,r2,0.7062
7,2027,density_merlin,1,r2,0.7563
7,2027,density_merlin,2,r2,0.3374
7,2027,density_merlin,mean,r2,0.6
8,2027,density_merlin,0,r2,0.6885
8,2027,density_merlin,1,r2,0.7775
8,2027,density_merlin,2,r2,0.2734
8,2027,density_merlin,mean,r2,0.5798
9,2027,density_merlin,0,r2,0.7491
9,2027,density_merlin,1,r2,0.7076
9,2027,density_merlin,2,r2,0.4066
9,2027,density_merlin,mean,r2,0.6211
10,2027,density_merlin,0,r2,0.7149
10,2027,density_merlin,1,r2,0.7242
10,2027,density_merlin,2,r2,0.3853
10,2027,density_merlin,mean,r2,0.6082
1,2028,density_merlin,0,r2,0.3358
1,2028,density_merlin,1,r2,0.5731
1,2028,density_merlin,2,r2,0.0369
1,2028,density_merlin,mean,r2,0.3153
2,2028,density_merlin,0,r2,0.4776
2,2028,density_merlin,1,r2,0.6252
2,2028,density_merlin,2,r2,0.0679
2,2028,density_merlin,mean,r2,0.3902
3,2028,density_merlin,0,r2,0.6281
3,2028,density_merlin,1,r2,0.7002
3,2028,density_merlin,2,r2,0.0784
3,2028,density_merlin,mean,r2,0.4689
4,2028,density_merlin,0,r2,0.6656
4,2028,density_merlin,1,r2,0.6764
4,2028,density_merlin,2,r2,0.0657
4,2028,density_merlin,mean,r2,0.4692
5,2028,density_merlin,0,r2,0.701
5,2028,density_merlin,1,r2,0.7478
5,2028,density_merlin,2,r2,0.1884
5,2028,density_merlin,mean,r2,0.5457
6,2028,density_merlin,0,r2,0.5803
6,2028,density_merlin,1,r2,0.7598
6,2028,density_merlin,2,r2,0.1896
6,2028,density_merlin,mean,r2,0.5099
7,2028,density_merlin,0,r2,0.6959
7,2028,density_merlin,1,r2,0.7345
7,2028,density_merlin,2,r2,0.2725
7,2028,density_merlin,mean,r2,0.5676
8,2028,density_merlin,0,r2,0.7001
8,2028,density_merlin,1,r2,0.7823
8,2028,density_merlin,2,r2,0.3166
8,2028,density_merlin,mean,r2,0.5997
9,2028,density_merlin,0,r2,0.7255
9,2028,density_merlin,1,r2,0.7851
9,2028,density_merlin,2,r2,0.3208
9,2028,density_merlin,mean,r2,0.6105
10,2028,density_merlin,0,r2,0.7328
10,2028,density_merlin,1,r2,0.6949
10,2028,density_merlin,2,r2,0.3304
10,2028,density_merlin,mean,r2,0.586
