epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.4698
1,2026,location_merlin,1,r2,0.1863
1,2026,location_merlin,2,r2,0.044
1,2026,location_merlin,mean,r2,0.2334
2,2026,location_merlin,0,r2,0.5782
2,2026,location_merlin,1,r2,0.2816
2,2026,location_merlin,2,r2,0.1206
2,2026,location_merlin,mean,r2,0.3268
3,2026,location_merlin,0,r2,0.6271
3,2026,location_merlin,1,r2,0.3247
3,2026,location_merlin,2,r2,0.1653
3,2026,location_merlin,mean,r2,0.3724
4,2026,location_merlin,0,r2,0.5748
4,2026,location_merlin,1,r2,0.3322
4,2026,location_merlin,2,r2,0.1734
4,2026,location_merlin,mean,r2,0.3601
5,2026,location_merlin,0,r2,0.6143
5,2026,location_merlin,1,r2,0.3909
5,2026,location_merlin,2,r2,0.1997
5,2026,location_merlin,mean,r2,0.4016
6,2026,location_merlin,0,r2,0.6086
6,2026,location_merlin,1,r2,0.3805
6,2026,location_merlin,2,r2,0.1677
6,2026,location_merlin,mean,r2,0.3856
7,2026,location_merlin,0,r2,0.6475
7,2026,location_merlin,1,r2,0.445
7,2026,location_merlin,2,r2,0.2134
7,2026,location_merlin,mean,r2,0.4353
8,2026,location_merlin,0,r2,0.6558
8,2026,location_merlin,1,r2,0.4432
8,2026,location_merlin,2,r2,0.2188
8,2026,location_merlin,mean,r2,0.4392
9,2026,location_merlin,0,r2,0.6737
9,2026,location_merlin,1,r2,0.4659
9,2026,location_merlin,2,r2,0.2247
9,2026,location_merlin,mean,r2,0.4548
10,2026,location_merlin,0,r2,0.6879
10,2026,location_merlin,1,r2,0.4895
10,2026,location_merlin,2,r2,0.2458
10,2026,location_merlin,mean,r2,0.4744
1,2027,location_merlin,0,r2,0.1518
1,2027,location_merlin,1,r2,0.1549
1,2027,location_merlin,2,r2,0.1151
1,2027,location_merlin,mean,r2,0.1406
2,2027,location_merlin,0,r2,0.4929
2,2027,location_merlin,1,r2,0.2472
2,2027,location_merlin,2,r2,0.1168
2,2027,location_merlin,mean,r2,0.2856
3,2027,location_merlin,0,r2,0.525
3,2027,location_merlin,1,r2,0.2896
3,2027,location_merlin,2,r2,0.1638
3,2027,location_merlin,mean,r2,0.3261
4,2027,location_merlin,0,r2,0.5664
4,2027,location_merlin,1,r2,0.3049
4,2027,location_merlin,2,r2,0.2124
4,2027,location_merlin,mean,r2,0.3612
5,2027,location_merlin,0,r2,0.5727
5,2027,location_merlin,1,r2,0.313
5,2027,location_merlin,2,r2,0.2295
5,2027,location_merlin,mean,r2,0.3717
6,2027,location_merlin,0,r2,0.5803
6,2027,location_merlin,1,r2,0.3359
6,2027,location_merlin,2,r2,0.3061
6,2027,location_merlin,mean,r2,0.4075
7,2027,location_merlin,0,r2,0.5935
7,2027,location_merlin,1,r2,0.3362
7,2027,location_merlin,2,r2,0.3514
7,2027,location_merlin,mean,r2,0.427
8,2027,location_merlin,0,r2,0.582
8,2027,location_merlin,1,r2,0.3577
8,2027,location_merlin,2,r2,0.2447
8,2027,location_merlin,mean,r2,0.3948
9,2027,location_merlin,0,r2,0.6177
9,2027,location_merlin,1,r2,0.4221
9,2027,location_merlin,2,r2,0.3906
9,2027,location_merlin,mean,r2,0.4768
10,2027,location_merlin,0,r2,0.6158
10,2027,location_merlin,1,r2,0.484
10,2027,location_merlin,2,r2,0.3721
10,2027,location_merlin,mean,r2,0.4906
1,2028,location_merlin,0,r2,0.3482
1,2028,location_merlin,1,r2,0.0832
1,2028,location_merlin,2,r2,0.1701
1,2028,location_merlin,mean,r2,0.2005
2,2028,location_merlin,0,r2,0.5166
2,2028,location_merlin,1,r2,0.3403
2,2028,location_merlin,2,r2,0.3219
2,2028,location_merlin,mean,r2,0.3929
3,2028,location_merlin,0,r2,0.6051
3,2028,location_merlin,1,r2,0.5129
3,2028,location_merlin,2,r2,0.3836
3,2028,location_merlin,mean,r2,0.5005
4,2028,location_merlin,0,r2,0.5672
4,2028,location_merlin,1,r2,0.5876
4,2028,location_merlin,2,r2,0.2907
4,2028,location_merlin,mean,r2,0.4819
5,2028,location_merlin,0,r2,0.6795
5,2028,location_merlin,1,r2,0.6197
5,2028,location_merlin,2,r2,0.4332
5,2028,location_merlin,mean,r2,0.5775
6,2028,location_merlin,0,r2,0.6666
6,2028,location_merlin,1,r2,0.582
6,2028,location_merlin,2,r2,0.406
6,2028,location_merlin,mean,r2,0.5515
7,2028,location_merlin,0,r2,0.6768
7,2028,location_merlin,1,r2,0.6619
7,2028,location_merlin,2,r2,0.4076
7,2028,location_merlin,mean,r2,0.5821
8,2028,location_merlin,0,r2,0.6752
8,2028,location_merlin,1,r2,0.6551
8,2028,location_merlin,2,r2,0.4571
8,2028,location_merlin,mean,r2,0.5958
9,2028,location_merlin,0,r2,0.6805
9,2028,location_merlin,1,r2,0.6747
9,2028,location_merlin,2,r2,0.4398
9,2028,location_merlin,mean,r2,0.5984
10,2028,location_merlin,0,r2,0.7133
10,2028,location_merlin,1,r2,0.6491
10,2028,location_merlin,2,r2,0.4721
10,2028,location_merlin,mean,r2,0.6115
