epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.0898
1,2026,size_merlin,1,r2,0.0845
1,2026,size_merlin,2,r2,0.1882
1,2026,size_merlin,3,r2,0.2727
1,2026,size_merlin,4,r2,0.2707
1,2026,size_merlin,5,r2,0.0566
1,2026,size_merlin,mean,r2,0.1604
2,2026,size_merlin,0,r2,0.2244
2,2026,size_merlin,1,r2,0.2006
2,2026,size_merlin,2,r2,0.2891
2,2026,size_merlin,3,r2,0.3526
2,2026,size_merlin,4,r2,0.3285
2,2026,size_merlin,5,r2,0.0885
2,2026,size_merlin,mean,r2,0.2473
3,2026,size_merlin,0,r2,0.4449
3,2026,size_merlin,1,r2,0.3646
3,2026,size_merlin,2,r2,0.3327
3,2026,size_merlin,3,r2,0.3665
3,2026,size_merlin,4,r2,0.3824
3,2026,size_merlin,5,r2,0.1116
3,2026,size_merlin,mean,r2,0.3338
4,2026,size_merlin,0,r2,0.5743
4,2026,size_merlin,1,r2,0.4985
4,2026,size_merlin,2,r2,0.3785
4,2026,size_merlin,3,r2,0.3201
4,2026,size_merlin,4,r2,0.4094
4,2026,size_merlin,5,r2,0.1108
4,2026,size_merlin,mean,r2,0.382
5,2026,size_merlin,0,r2,0.6506
5,2026,size_merlin,1,r2,0.5663
5,2026,size_merlin,2,r2,0.3429
5,2026,size_merlin,3,r2,0.4115
5,2026,size_merlin,4,r2,0.3798
5,2026,size_merlin,5,r2,0.134
5,2026,size_merlin,mean,r2,0.4142
6,2026,size_merlin,0,r2,0.7132
6,2026,size_merlin,1,r2,0.6138
6,2026,size_merlin,2,r2,0.3972
6,2026,size_merlin,3,r2,0.4413
6,2026,size_merlin,4,r2,0.3572
6,2026,size_merlin,5,r2,0.1415
6,2026,size_merlin,mean,r2,0.444
7,2026,size_merlin,0,r2,0.7065
7,2026,size_merlin,1,r2,0.6136
7,2026,size_merlin,2,r2,0.4555
7,2026,size_merlin,3,r2,0.4589
7,2026,size_merlin,4,r2,0.445
7,2026,size_merlin,5,r2,0.1552
7,2026,size_merlin,mean,r2,0.4724
8,2026,size_merlin,0,r2,0.758
8,2026,size_merlin,1,r2,0.6643
8,2026,size_merlin,2,r2,0.4544
8,2026,size_merlin,3,r2,0.4495
8,2026,size_merlin,4,r2,0.4595
8,2026,size_merlin,5,r2,0.1492
8,2026,size_merlin,mean,r2,0.4892
9,2026,size_merlin,0,r2,0.764
9,2026,size_merlin,1,r2,0.6669
9,2026,size_merlin,2,r2,0.4752
9,2026,size_merlin,3,r2,0.4677
9,2026,size_merlin,4,r2,0.4548
9,2026,size_merlin,5,r2,0.1792
9,2026,size_merlin,mean,r2,0.5013
10,2026,size_merlin,0,r2,0.7534
10,2026,size_merlin,1,r2,0.6603
10,2026,size_merlin,2,r2,0.518
10,2026,size_merlin,3,r2,0.4878
10,2026,size_merlin,4,r2,0.4722
10,2026,size_merlin,5,r2,0.1917
10,2026,size_merlin,mean,r2,0.5139
1,2027,size_merlin,0,r2,0.1266
1,2027,size_merlin,1,r2,0.0715
1,2027,size_merlin,2,r2,0.1725
1,2027,size_merlin,3,r2,0.1675
1,2027,size_merlin,4,r2,0.3315
1,2027,size_merlin,5,r2,0.0839
1,2027,size_merlin,mean,r2,0.1589
2,2027,size_merlin,0,r2,0.5111
2,2027,size_merlin,1,r2,0.4241
2,2027,size_merlin,2,r2,0.2954
2,2027,size_merlin,3,r2,0.2878
2,2027,size_merlin,4,r2,0.3795
2,2027,size_merlin,5,r2,0.1291
2,2027,size_merlin,mean,r2,0.3378
3,2027,size_merlin,0,r2,0.6805
3,2027,size_merlin,1,r2,0.6027
3,2027,size_merlin,2,r2,0.3548
3,2027,size_merlin,3,r2,0.3282
3,2027,size_merlin,4,r2,0.4142
3,2027,size_merlin,5,r2,0.1515
3,2027,size_merlin,mean,r2,0.422
4,2027,size_merlin,0,r2,0.7579
4,2027,size_merlin,1,r2,0.6659
4,2027,size_merlin,2,r2,0.3915
4,2027,size_merlin,3,r2,0.3077
4,2027,size_merlin,4,r2,0.3825
4,2027,size_merlin,5,r2,0.1594
4,2027,size_merlin,mean,r2,0.4442
5,2027,size_merlin,0,r2,0.6598
5,2027,size_merlin,1,r2,0.6232
5,2027,size_merlin,2,r2,0.4067
5,2027,size_merlin,3,r2,0.3559
5,2027,size_merlin,4,r2,0.4819
5,2027,size_merlin,5,r2,0.1847
5,2027,size_merlin,mean,r2,0.452
6,2027,size_merlin,0,r2,0.7738
6,2027,size_merlin,1,r2,0.6938
6,2027,size_merlin,2,r2,0.3076
6,2027,size_merlin,3,r2,0.2593
6,2027,size_merlin,4,r2,0.4792
6,2027,size_merlin,5,r2,0.1885
6,2027,size_merlin,mean,r2,0.4503
7,2027,size_merlin,0,r2,0.8014
7,2027,size_merlin,1,r2,0.7162
7,2027,size_merlin,2,r2,0.457
7,2027,size_merlin,3,r2,0.399
7,2027,size_merlin,4,r2,0.486
7,2027,size_merlin,5,r2,0.2033
7,2027,size_merlin,mean,r2,0.5105
8,2027,size_merlin,0,r2,0.7606
8,2027,size_merlin,1,r2,0.7188
8,2027,size_merlin,2,r2,0.5098
8,2027,size_merlin,3,r2,0.4198
8,2027,size_merlin,4,r2,0.4587
8,2027,size_merlin,5,r2,0.2115
8,2027,size_merlin,mean,r2,0.5132
9,2027,size_merlin,0,r2,0.7328
