epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.6341
1,2026,density_merlin,1,r2,0.8007
1,2026,density_merlin,2,r2,0.1192
1,2026,density_merlin,mean,r2,0.518
2,2026,density_merlin,0,r2,0.6816
2,2026,density_merlin,1,r2,0.8327
2,2026,density_merlin,2,r2,0.2554
2,2026,density_merlin,mean,r2,0.5899
3,2026,density_merlin,0,r2,0.6858
3,2026,density_merlin,1,r2,0.8713
3,2026,density_merlin,2,r2,0.3517
3,2026,density_merlin,mean,r2,0.6363
4,2026,density_merlin,0,r2,0.6975
4,2026,density_merlin,1,r2,0.8992
4,2026,density_merlin,2,r2,0.4202
4,2026,density_merlin,mean,r2,0.6723
5,2026,density_merlin,0,r2,0.7143
5,2026,density_merlin,1,r2,0.8877
5,2026,density_merlin,2,r2,0.3641
5,2026,density_merlin,mean,r2,0.6553
6,2026,density_merlin,0,r2,0.7167
6,2026,density_merlin,1,r2,0.9097
6,2026,density_merlin,2,r2,0.4892
6,2026,density_merlin,mean,r2,0.7052
7,2026,density_merlin,0,r2,0.7208
7,2026,density_merlin,1,r2,0.8996
7,2026,density_merlin,2,r2,0.562
7,2026,density_merlin,mean,r2,0.7275
8,2026,density_merlin,0,r2,0.7005
8,2026,density_merlin,1,r2,0.8793
8,2026,density_merlin,2,r2,0.5987
8,2026,density_merlin,mean,r2,0.7262
9,2026,density_merlin,0,r2,0.7156
9,2026,density_merlin,1,r2,0.9164
9,2026,density_merlin,2,r2,0.605
9,2026,density_merlin,mean,r2,0.7457
10,2026,density_merlin,0,r2,0.7269
10,2026,density_merlin,1,r2,0.9149
10,2026,density_merlin,2,r2,0.624
10,2026,density_merlin,mean,r2,0.7553
1,2027,density_merlin,0,r2,0.6516
1,2027,density_merlin,1,r2,0.7723
1,2027,density_merlin,2,r2,0.1416
1,2027,density_merlin,mean,r2,0.5219
2,2027,density_merlin,0,r2,0.5922
2,2027,density_merlin,1,r2,0.8312
2,2027,density_merlin,2,r2,0.325
2,2027,density_merlin,mean,r2,0.5828
3,2027,density_merlin,0,r2,0.6804
3,2027,density_merlin,1,r2,0.8698
3,2027,density_merlin,2,r2,0.2865
3,2027,density_merlin,mean,r2,0.6123
4,2027,density_merlin,0,r2,0.6885
4,2027,density_merlin,1,r2,0.8882
4,2027,density_merlin,2,r2,0.4242
4,2027,density_merlin,mean,r2,0.667
5,2027,density_merlin,0,r2,0.7027
5,2027,density_merlin,1,r2,0.8896
5,2027,density_merlin,2,r2,0.4327
5,2027,density_merlin,mean,r2,0.675
6,2027,density_merlin,0,r2,0.7029
6,2027,density_merlin,1,r2,0.9076
6,2027,density_merlin,2,r2,0.4543
6,2027,density_merlin,mean,r2,0.6883
7,2027,density_merlin,0,r2,0.6959
7,2027,density_merlin,1,r2,0.9059
7,2027,density_merlin,2,r2,0.4381
7,2027,density_merlin,mean,r2,0.68
8,2027,density_merlin,0,r2,0.6986
8,2027,density_merlin,1,r2,0.8917
8,2027,density_merlin,2,r2,0.5012
8,2027,density_merlin,mean,r2,0.6971
9,2027,density_merlin,0,r2,0.6996
9,2027,density_merlin,1,r2,0.9159
9,2027,density_merlin,2,r2,0.4991
9,2027,density_merlin,mean,r2,0.7049
10,2027,density_merlin,0,r2,0.7183
10,2027,density_merlin,1,r2,0.9002
10,2027,density_merlin,2,r2,0.5529
10,2027,density_merlin,mean,r2,0.7238
1,2028,density_merlin,0,r2,0.6276
1,2028,density_merlin,1,r2,0.7061
1,2028,density_merlin,2,r2,0.3305
1,2028,density_merlin,mean,r2,0.5547
2,2028,density_merlin,0,r2,0.6788
2,2028,density_merlin,1,r2,0.8254
2,2028,density_merlin,2,r2,0.5324
2,2028,density_merlin,mean,r2,0.6789
3,2028,density_merlin,0,r2,0.669
3,2028,density_merlin,1,r2,0.8498
3,2028,density_merlin,2,r2,0.5839
3,2028,density_merlin,mean,r2,0.7009
4,2028,density_merlin,0,r2,0.7035
4,2028,density_merlin,1,r2,0.886
4,2028,density_merlin,2,r2,0.6087
4,2028,density_merlin,mean,r2,0.7327
5,2028,density_merlin,0,r2,0.7005
5,2028,density_merlin,1,r2,0.9077
5,2028,density_merlin,2,r2,0.6214
5,2028,density_merlin,mean,r2,0.7432
6,2028,density_merlin,0,r2,0.7032
6,2028,density_merlin,1,r2,0.9113
6,2028,density_merlin,2,r2,0.6306
6,2028,density_merlin,mean,r2,0.7484
7,2028,density_merlin,0,r2,0.7209
7,2028,density_merlin,1,r2,0.8919
7,2028,density_merlin,2,r2,0.6352
7,2028,density_merlin,mean,r2,0.7494
8,2028,density_merlin,0,r2,0.7235
8,2028,density_merlin,1,r2,0.8963
8,2028,density_merlin,2,r2,0.6431
8,2028,density_merlin,mean,r2,0.7543
9,2028,density_merlin,0,r2,0.7088
9,2028,density_merlin,1,r2,0.9212
9,2028,density_merlin,2,r2,0.6009
9,2028,density_merlin,mean,r2,0.7436
10,2028,density_merlin,0,r2,0.7304
10,2028,density_merlin,1,r2,0.917
10,2028,density_merlin,2,r2,0.6483
10,2028,density_merlin,mean,r2,0.7652
