epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.1327
1,2026,location_merlin,1,r2,0.1093
1,2026,location_merlin,2,r2,0.1646
1,2026,location_merlin,mean,r2,0.1355
2,2026,location_merlin,0,r2,0.2594
2,2026,location_merlin,1,r2,0.1697
2,2026,location_merlin,2,r2,0.176
2,2026,location_merlin,mean,r2,0.2017
3,2026,location_merlin,0,r2,0.3588
3,2026,location_merlin,1,r2,0.2293
3,2026,location_merlin,2,r2,0.1753
3,2026,location_merlin,mean,r2,0.2545
4,2026,location_merlin,0,r2,0.4244
4,2026,location_merlin,1,r2,0.318
4,2026,location_merlin,2,r2,0.1759
4,2026,location_merlin,mean,r2,0.3061
5,2026,location_merlin,0,r2,0.4592
5,2026,location_merlin,1,r2,0.2873
5,2026,location_merlin,2,r2,0.1368
5,2026,location_merlin,mean,r2,0.2944
6,2026,location_merlin,0,r2,0.4905
6,2026,location_merlin,1,r2,0.4207
6,2026,location_merlin,2,r2,0.1733
6,2026,location_merlin,mean,r2,0.3615
7,2026,location_merlin,0,r2,0.4783
7,2026,location_merlin,1,r2,0.446
7,2026,location_merlin,2,r2,0.1952
7,2026,location_merlin,mean,r2,0.3732
8,2026,location_merlin,0,r2,0.5126
8,2026,location_merlin,1,r2,0.4649
8,2026,location_merlin,2,r2,0.2
8,2026,location_merlin,mean,r2,0.3925
9,2026,location_merlin,0,r2,0.543
9,2026,location_merlin,1,r2,0.4811
9,2026,location_merlin,2,r2,0.1896
9,2026,location_merlin,mean,r2,0.4045
10,2026,location_merlin,0,r2,0.5505
10,2026,location_merlin,1,r2,0.4824
10,2026,location_merlin,2,r2,0.2023
10,2026,location_merlin,mean,r2,0.4117
1,2027,location_merlin,0,r2,0.0588
1,2027,location_merlin,1,r2,0.097
1,2027,location_merlin,2,r2,0.1512
1,2027,location_merlin,mean,r2,0.1023
2,2027,location_merlin,0,r2,0.2432
2,2027,location_merlin,1,r2,0.1725
2,2027,location_merlin,2,r2,0.1975
2,2027,location_merlin,mean,r2,0.2044
3,2027,location_merlin,0,r2,0.3694
3,2027,location_merlin,1,r2,0.2759
3,2027,location_merlin,2,r2,0.2362
3,2027,location_merlin,mean,r2,0.2938
4,2027,location_merlin,0,r2,0.4139
4,2027,location_merlin,1,r2,0.2621
4,2027,location_merlin,2,r2,0.2818
4,2027,location_merlin,mean,r2,0.3193
5,2027,location_merlin,0,r2,0.4444
5,2027,location_merlin,1,r2,0.3762
5,2027,location_merlin,2,r2,0.3048
5,2027,location_merlin,mean,r2,0.3751
6,2027,location_merlin,0,r2,0.4603
6,2027,location_merlin,1,r2,0.3347
6,2027,location_merlin,2,r2,0.298
6,2027,location_merlin,mean,r2,0.3643
7,2027,location_merlin,0,r2,0.4646
7,2027,location_merlin,1,r2,0.4104
7,2027,location_merlin,2,r2,0.3144
7,2027,location_merlin,mean,r2,0.3964
8,2027,location_merlin,0,r2,0.4838
8,2027,location_merlin,1,r2,0.3835
8,2027,location_merlin,2,r2,0.3477
8,2027,location_merlin,mean,r2,0.405
9,2027,location_merlin,0,r2,0.4488
9,2027,location_merlin,1,r2,0.4347
9,2027,location_merlin,2,r2,0.3289
9,2027,location_merlin,mean,r2,0.4042
10,2027,location_merlin,0,r2,0.4828
10,2027,location_merlin,1,r2,0.4383
10,2027,location_merlin,2,r2,0.3461
10,2027,location_merlin,mean,r2,0.4224
1,2028,location_merlin,0,r2,0.1637
1,2028,location_merlin,1,r2,0.1065
1,2028,location_merlin,2,r2,0.1282
1,2028,location_merlin,mean,r2,0.1328
2,2028,location_merlin,0,r2,0.2984
2,2028,location_merlin,1,r2,0.0888
2,2028,location_merlin,2,r2,0.2034
2,2028,location_merlin,mean,r2,0.1969
3,2028,location_merlin,0,r2,0.3744
3,2028,location_merlin,1,r2,0.2199
3,2028,location_merlin,2,r2,0.2722
3,2028,location_merlin,mean,r2,0.2889
4,2028,location_merlin,0,r2,0.3961
4,2028,location_merlin,1,r2,0.2718
4,2028,location_merlin,2,r2,0.2464
4,2028,location_merlin,mean,r2,0.3047
5,2028,location_merlin,0,r2,0.4031
5,2028,location_merlin,1,r2,0.2791
5,2028,location_merlin,2,r2,0.3213
5,2028,location_merlin,mean,r2,0.3345
6,2028,location_merlin,0,r2,0.4354
6,2028,location_merlin,1,r2,0.3218
6,2028,location_merlin,2,r2,0.3303
6,2028,location_merlin,mean,r2,0.3625
7,2028,location_merlin,0,r2,0.4509
7,2028,location_merlin,1,r2,0.3598
7,2028,location_merlin,2,r2,0.2999
7,2028,location_merlin,mean,r2,0.3702
8,2028,location_merlin,0,r2,0.4491
8,2028,location_merlin,1,r2,0.3708
8,2028,location_merlin,2,r2,0.3351
8,2028,location_merlin,mean,r2,0.385
9,2028,location_merlin,0,r2,0.4209
9,2028,location_merlin,1,r2,0.4121
9,2028,location_merlin,2,r2,0.3327
9,2028,location_merlin,mean,r2,0.3886
10,2028,location_merlin,0,r2,0.4358
10,2028,location_merlin,1,r2,0.4545
10,2028,location_merlin,2,r2,0.2739
10,2028,location_merlin,mean,r2,0.3881
