epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.1758
1,2026,size_merlin,1,r2,0.1495
1,2026,size_merlin,2,r2,0.1494
1,2026,size_merlin,3,r2,0.2005
1,2026,size_merlin,4,r2,0.2813
1,2026,size_merlin,5,r2,0.0973
1,2026,size_merlin,mean,r2,0.1756
2,2026,size_merlin,0,r2,0.2084
2,2026,size_merlin,1,r2,0.25
2,2026,size_merlin,2,r2,0.2346
2,2026,size_merlin,3,r2,0.2781
2,2026,size_merlin,4,r2,0.3452
2,2026,size_merlin,5,r2,0.1376
2,2026,size_merlin,mean,r2,0.2423
3,2026,size_merlin,0,r2,0.5095
3,2026,size_merlin,1,r2,0.4946
3,2026,size_merlin,2,r2,0.2909
3,2026,size_merlin,3,r2,0.2225
3,2026,size_merlin,4,r2,0.2881
3,2026,size_merlin,5,r2,0.1517
3,2026,size_merlin,mean,r2,0.3262
4,2026,size_merlin,0,r2,0.5524
4,2026,size_merlin,1,r2,0.5494
4,2026,size_merlin,2,r2,0.3034
4,2026,size_merlin,3,r2,0.3383
4,2026,size_merlin,4,r2,0.3699
4,2026,size_merlin,5,r2,0.1685
4,2026,size_merlin,mean,r2,0.3803
5,2026,size_merlin,0,r2,0.6213
5,2026,size_merlin,1,r2,0.5772
5,2026,size_merlin,2,r2,0.3368
5,2026,size_merlin,3,r2,0.3479
5,2026,size_merlin,4,r2,0.388
5,2026,size_merlin,5,r2,0.176
5,2026,size_merlin,mean,r2,0.4079
6,2026,size_merlin,0,r2,0.6629
6,2026,size_merlin,1,r2,0.6149
6,2026,size_merlin,2,r2,0.3557
6,2026,size_merlin,3,r2,0.3502
6,2026,size_merlin,4,r2,0.3675
6,2026,size_merlin,5,r2,0.1557
6,2026,size_merlin,mean,r2,0.4178
7,2026,size_merlin,0,r2,0.6684
7,2026,size_merlin,1,r2,0.5998
7,2026,size_merlin,2,r2,0.3264
7,2026,size_merlin,3,r2,0.371
7,2026,size_merlin,4,r2,0.3224
7,2026,size_merlin,5,r2,0.1761
7,2026,size_merlin,mean,r2,0.4107
8,2026,size_merlin,0,r2,0.6703
8,2026,size_merlin,1,r2,0.6311
8,2026,size_merlin,2,r2,0.3914
8,2026,size_merlin,3,r2,0.3808
8,2026,size_merlin,4,r2,0.4101
8,2026,size_merlin,5,r2,0.1993
8,2026,size_merlin,mean,r2,0.4472
9,2026,size_merlin,0,r2,0.6847
9,2026,size_merlin,1,r2,0.6324
9,2026,size_merlin,2,r2,0.3886
9,2026,size_merlin,3,r2,0.3762
9,2026,size_merlin,4,r2,0.3943
9,2026,size_merlin,5,r2,0.2021
9,2026,size_merlin,mean,r2,0.4464
10,2026,size_merlin,0,r2,0.7073
10,2026,size_merlin,1,r2,0.6545
10,2026,size_merlin,2,r2,0.3414
10,2026,size_merlin,3,r2,0.3726
10,2026,size_merlin,4,r2,0.38
10,2026,size_merlin,5,r2,0.1834
10,2026,size_merlin,mean,r2,0.4399
1,2027,size_merlin,0,r2,0.1432
1,2027,size_merlin,1,r2,0.1602
1,2027,size_merlin,2,r2,0.1527
1,2027,size_merlin,3,r2,0.1902
1,2027,size_merlin,4,r2,0.2988
1,2027,size_merlin,5,r2,0.1049
1,2027,size_merlin,mean,r2,0.175
2,2027,size_merlin,0,r2,0.2135
2,2027,size_merlin,1,r2,0.2586
2,2027,size_merlin,2,r2,0.13
2,2027,size_merlin,3,r2,0.2416
2,2027,size_merlin,4,r2,0.3537
2,2027,size_merlin,5,r2,0.0812
2,2027,size_merlin,mean,r2,0.2131
3,2027,size_merlin,0,r2,0.4718
3,2027,size_merlin,1,r2,0.3966
3,2027,size_merlin,2,r2,0.2236
3,2027,size_merlin,3,r2,0.1219
3,2027,size_merlin,4,r2,0.2546
3,2027,size_merlin,5,r2,0.1526
3,2027,size_merlin,mean,r2,0.2702
4,2027,size_merlin,0,r2,0.5767
4,2027,size_merlin,1,r2,0.5401
4,2027,size_merlin,2,r2,0.2915
4,2027,size_merlin,3,r2,0.3082
4,2027,size_merlin,4,r2,0.3669
4,2027,size_merlin,5,r2,0.1619
4,2027,size_merlin,mean,r2,0.3742
5,2027,size_merlin,0,r2,0.6305
5,2027,size_merlin,1,r2,0.5597
5,2027,size_merlin,2,r2,0.2983
5,2027,size_merlin,3,r2,0.2728
5,2027,size_merlin,4,r2,0.3463
5,2027,size_merlin,5,r2,0.1642
5,2027,size_merlin,mean,r2,0.3787
6,2027,size_merlin,0,r2,0.6602
6,2027,size_merlin,1,r2,0.6026
6,2027,size_merlin,2,r2,0.3291
6,2027,size_merlin,3,r2,0.3436
6,2027,size_merlin,4,r2,0.3846
6,2027,size_merlin,5,r2,0.167
6,2027,size_merlin,mean,r2,0.4145
7,2027,size_merlin,0,r2,0.6472
7,2027,size_merlin,1,r2,0.5941
7,2027,size_merlin,2,r2,0.3346
7,2027,size_merlin,3,r2,0.3655
7,2027,size_merlin,4,r2,0.4031
7,2027,size_merlin,5,r2,0.1775
7,2027,size_merlin,mean,r2,0.4203
8,2027,size_merlin,0,r2,0.6591
8,2027,size_merlin,1,r2,0.5971
8,2027,size_merlin,2,r2,0.355
8,2027,size_merlin,3,r2,0.3826
8,2027,size_merlin,4,r2,0.4142
8,2027,size_merlin,5,r2,0.1453
8,2027,size_merlin,mean,r2,0.4256
9,2027,size_merlin,0,r2,0.6871
9,2027,size_merlin,1,r2,0.6246
9,2027,size_merlin,2,r2,0.3905
9,2027,size_merlin,3,r2,0.3889
9,2027,size_merlin,4,r2,0.4235
9,2027,size_merlin,5,r2,0.1923
9,2027,size_merlin,mean,r2,0.4511
10,2027,size_merlin,0,r2,0.7032
10,2027,size_merlin,1,r2,0.6424
10,2027,size_merlin,2,r2,0.4024
10,2027,size_merlin,3,r2,0.3739
10,2027,size_merlin,4,r2,0.4224
10,2027,size_merlin,5,r2,0.1732
10,2027,size_merlin,mean,r2,0.4529
1,2028,size_merlin,0,r2,0.1705
1,2028,size_merlin,1,r2,0.1497
1,2028,size_merlin,2,r2,0.1482
1,2028,size_merlin,3,r2,0.1589
1,2028,size_merlin,4,r2,0.3025
1,2028,size_merlin,5,r2,0.0792
1,2028,size_merlin,mean,r2,0.1682
2,2028,size_merlin,0,r2,0.3177
2,2028,size_merlin,1,r2,0.3197
2,2028,size_merlin,2,r2,0.208
2,2028,size_merlin,3,r2,0.2312
2,2028,size_merlin,4,r2,0.3392
2,2028,size_merlin,5,r2,0.1275
2,2028,size_merlin,mean,r2,0.2572
3,2028,size_merlin,0,r2,0.5229
3,2028,size_merlin,1,r2,0.5025
3,2028,size_merlin,2,r2,0.2468
3,2028,size_merlin,3,r2,0.2951
3,2028,size_merlin,4,r2,0.3458
3,2028,size_merlin,5,r2,0.1402
3,2028,size_merlin,mean,r2,0.3422
4,2028,size_merlin,0,r2,0.5889
4,2028,size_merlin,1,r2,0.5543
4,2028,size_merlin,2,r2,0.2939
4,2028,size_merlin,3,r2,0.3151
4,2028,size_merlin,4,r2,0.3471
4,2028,size_merlin,5,r2,0.1586
4,2028,size_merlin,mean,r2,0.3763
5,2028,size_merlin,0,r2,0.6219
5,2028,size_merlin,1,r2,0.5637
5,2028,size_merlin,2,r2,0.2569
5,2028,size_merlin,3,r2,0.3458
5,2028,size_merlin,4,r2,0.2819
5,2028,size_merlin,5,r2,0.1691
5,2028,size_merlin,mean,r2,0.3732
6,2028,size_merlin,0,r2,0.6364
6,2028,size_merlin,1,r2,0.5993
6,2028,size_merlin,2,r2,0.1884
6,2028,size_merlin,3,r2,0.3455
6,2028,size_merlin,4,r2,0.3471
6,2028,size_merlin,5,r2,0.1678
6,2028,size_merlin,mean,r2,0.3808
7,2028,size_merlin,0,r2,0.629
7,2028,size_merlin,1,r2,0.589
7,2028,size_merlin,2,r2,0.3526
7,2028,size_merlin,3,r2,0.3315
7,2028,size_merlin,4,r2,0.3845
7,2028,size_merlin,5,r2,0.1874
7,2028,size_merlin,mean,r2,0.4123
8,2028,size_merlin,0,r2,0.6677
8,2028,size_merlin,1,r2,0.6008
8,2028,size_merlin,2,r2,0.3687
8,2028,size_merlin,3,r2,0.3709
8,2028,size_merlin,4,r2,0.3338
8,2028,size_merlin,5,r2,0.149
8,2028,size_merlin,mean,r2,0.4152
9,2028,size_merlin,0,r2,0.6649
9,2028,size_merlin,1,r2,0.6148
9,2028,size_merlin,2,r2,0.3744
9,2028,size_merlin,3,r2,0.3607
9,2028,size_merlin,4,r2,0.3972
9,2028,size_merlin,5,r2,0.1826
9,2028,size_merlin,mean,r2,0.4324
10,2028,size_merlin,0,r2,0.6803
10,2028,size_merlin,1,r2,0.6276
10,2028,size_merlin,2,r2,0.3962
10,2028,size_merlin,3,r2,0.3961
10,2028,size_merlin,4,r2,0.3843
10,2028,size_merlin,5,r2,0.1678
10,2028,size_merlin,mean,r2,0.442
