epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.7982
1,2026,density,1,r2,0.3761
1,2026,density,2,r2,0.9165
1,2026,density,3,r2,0.9082
1,2026,density,mean,r2,0.7498
2,2026,density,0,r2,0.8308
2,2026,density,1,r2,0.4333
2,2026,density,2,r2,0.9296
2,2026,density,3,r2,0.9186
2,2026,density,mean,r2,0.7781
3,2026,density,0,r2,0.8302
3,2026,density,1,r2,0.5282
3,2026,density,2,r2,0.9218
3,2026,density,3,r2,0.9199
3,2026,density,mean,r2,0.8
4,2026,density,0,r2,0.8437
4,2026,density,1,r2,0.5421
4,2026,density,2,r2,0.9388
4,2026,density,3,r2,0.9231
4,2026,density,mean,r2,0.8119
5,2026,density,0,r2,0.8362
5,2026,density,1,r2,0.5836
5,2026,density,2,r2,0.9395
5,2026,density,3,r2,0.9209
5,2026,density,mean,r2,0.82
6,2026,density,0,r2,0.8296
6,2026,density,1,r2,0.577
6,2026,density,2,r2,0.9423
6,2026,density,3,r2,0.9324
6,2026,density,mean,r2,0.8203
7,2026,density,0,r2,0.8492
7,2026,density,1,r2,0.6455
7,2026,density,2,r2,0.9394
7,2026,density,3,r2,0.9307
7,2026,density,mean,r2,0.8412
8,2026,density,0,r2,0.8409
8,2026,density,1,r2,0.6628
8,2026,density,2,r2,0.9483
8,2026,density,3,r2,0.9338
8,2026,density,mean,r2,0.8464
9,2026,density,0,r2,0.8498
9,2026,density,1,r2,0.6869
9,2026,density,2,r2,0.9493
9,2026,density,3,r2,0.9327
9,2026,density,mean,r2,0.8546
10,2026,density,0,r2,0.8446
10,2026,density,1,r2,0.6617
10,2026,density,2,r2,0.9492
10,2026,density,3,r2,0.9263
10,2026,density,mean,r2,0.8455
1,2027,density,0,r2,0.7975
1,2027,density,1,r2,0.3268
1,2027,density,2,r2,0.8957
1,2027,density,3,r2,0.888
1,2027,density,mean,r2,0.727
2,2027,density,0,r2,0.8172
2,2027,density,1,r2,0.4205
2,2027,density,2,r2,0.9259
2,2027,density,3,r2,0.912
2,2027,density,mean,r2,0.7689
3,2027,density,0,r2,0.8178
3,2027,density,1,r2,0.4838
3,2027,density,2,r2,0.9353
3,2027,density,3,r2,0.9204
3,2027,density,mean,r2,0.7893
4,2027,density,0,r2,0.8362
4,2027,density,1,r2,0.5422
4,2027,density,2,r2,0.9229
4,2027,density,3,r2,0.9184
4,2027,density,mean,r2,0.8049
5,2027,density,0,r2,0.822
5,2027,density,1,r2,0.5974
5,2027,density,2,r2,0.9368
5,2027,density,3,r2,0.9232
5,2027,density,mean,r2,0.8198
6,2027,density,0,r2,0.8355
6,2027,density,1,r2,0.6174
6,2027,density,2,r2,0.9492
6,2027,density,3,r2,0.9239
6,2027,density,mean,r2,0.8315
7,2027,density,0,r2,0.8299
7,2027,density,1,r2,0.6303
7,2027,density,2,r2,0.9457
7,2027,density,3,r2,0.9312
7,2027,density,mean,r2,0.8343
8,2027,density,0,r2,0.8315
8,2027,density,1,r2,0.6631
8,2027,density,2,r2,0.9523
8,2027,density,3,r2,0.9304
8,2027,density,mean,r2,0.8443
9,2027,density,0,r2,0.8281
9,2027,density,1,r2,0.6801
9,2027,density,2,r2,0.9305
9,2027,density,3,r2,0.9228
9,2027,density,mean,r2,0.8404
10,2027,density,0,r2,0.843
10,2027,density,1,r2,0.7146
10,2027,density,2,r2,0.9498
10,2027,density,3,r2,0.9318
10,2027,density,mean,r2,0.8598
1,2028,density,0,r2,0.7911
1,2028,density,1,r2,0.3474
1,2028,density,2,r2,0.9065
1,2028,density,3,r2,0.905
1,2028,density,mean,r2,0.7375
2,2028,density,0,r2,0.8158
2,2028,density,1,r2,0.4461
2,2028,density,2,r2,0.9283
2,2028,density,3,r2,0.9148
2,2028,density,mean,r2,0.7763
3,2028,density,0,r2,0.8287
3,2028,density,1,r2,0.5319
3,2028,density,2,r2,0.9321
3,2028,density,3,r2,0.9166
3,2028,density,mean,r2,0.8023
4,2028,density,0,r2,0.8288
4,2028,density,1,r2,0.578
4,2028,density,2,r2,0.9379
4,2028,density,3,r2,0.9229
4,2028,density,mean,r2,0.8169
5,2028,density,0,r2,0.8297
5,2028,density,1,r2,0.6186
5,2028,density,2,r2,0.9332
5,2028,density,3,r2,0.9224
5,2028,density,mean,r2,0.826
6,2028,density,0,r2,0.8309
6,2028,density,1,r2,0.6085
6,2028,density,2,r2,0.924
6,2028,density,3,r2,0.9246
6,2028,density,mean,r2,0.822
7,2028,density,0,r2,0.8397
7,2028,density,1,r2,0.6568
7,2028,density,2,r2,0.9441
7,2028,density,3,r2,0.9294
7,2028,density,mean,r2,0.8425
8,2028,density,0,r2,0.8401
8,2028,density,1,r2,0.6692
8,2028,density,2,r2,0.9469
8,2028,density,3,r2,0.9336
8,2028,density,mean,r2,0.8475
9,2028,density,0,r2,0.8304
9,2028,density,1,r2,0.7138
9,2028,density,2,r2,0.9466
9,2028,density,3,r2,0.9313
9,2028,density,mean,r2,0.8555
10,2028,density,0,r2,0.8438
10,2028,density,1,r2,0.7341
10,2028,density,2,r2,0.9496
10,2028,density,3,r2,0.9334
10,2028,density,mean,r2,0.8652
