epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0772
1,2026,location,1,r2,0.1016
1,2026,location,2,r2,0.3159
1,2026,location,mean,r2,0.1649
2,2026,location,0,r2,0.1354
2,2026,location,1,r2,0.1264
2,2026,location,2,r2,0.319
2,2026,location,mean,r2,0.1936
3,2026,location,0,r2,0.1535
3,2026,location,1,r2,0.1565
3,2026,location,2,r2,0.3395
3,2026,location,mean,r2,0.2165
4,2026,location,0,r2,0.2047
4,2026,location,1,r2,0.1336
4,2026,location,2,r2,0.3536
4,2026,location,mean,r2,0.2306
5,2026,location,0,r2,0.1486
5,2026,location,1,r2,0.1083
5,2026,location,2,r2,0.3731
5,2026,location,mean,r2,0.21
6,2026,location,0,r2,0.2139
6,2026,location,1,r2,0.1539
6,2026,location,2,r2,0.3585
6,2026,location,mean,r2,0.2421
7,2026,location,0,r2,0.2299
7,2026,location,1,r2,0.1601
7,2026,location,2,r2,0.3676
7,2026,location,mean,r2,0.2525
8,2026,location,0,r2,0.2646
8,2026,location,1,r2,0.1904
8,2026,location,2,r2,0.356
8,2026,location,mean,r2,0.2703
9,2026,location,0,r2,0.2441
9,2026,location,1,r2,0.1703
9,2026,location,2,r2,0.3618
9,2026,location,mean,r2,0.2587
10,2026,location,0,r2,0.2671
10,2026,location,1,r2,0.16
10,2026,location,2,r2,0.3508
10,2026,location,mean,r2,0.2593
1,2027,location,0,r2,0.0731
1,2027,location,1,r2,0.1077
1,2027,location,2,r2,0.2809
1,2027,location,mean,r2,0.1539
2,2027,location,0,r2,0.1177
2,2027,location,1,r2,0.1263
2,2027,location,2,r2,0.3326
2,2027,location,mean,r2,0.1922
3,2027,location,0,r2,0.1113
3,2027,location,1,r2,0.1251
3,2027,location,2,r2,0.3472
3,2027,location,mean,r2,0.1945
4,2027,location,0,r2,0.1739
4,2027,location,1,r2,0.1213
4,2027,location,2,r2,0.3286
4,2027,location,mean,r2,0.2079
5,2027,location,0,r2,0.2029
5,2027,location,1,r2,0.1377
5,2027,location,2,r2,0.3453
5,2027,location,mean,r2,0.2286
6,2027,location,0,r2,0.2054
6,2027,location,1,r2,0.0872
6,2027,location,2,r2,0.3606
6,2027,location,mean,r2,0.2177
7,2027,location,0,r2,0.2249
7,2027,location,1,r2,0.1319
7,2027,location,2,r2,0.3609
7,2027,location,mean,r2,0.2392
8,2027,location,0,r2,0.2223
8,2027,location,1,r2,0.1703
8,2027,location,2,r2,0.366
8,2027,location,mean,r2,0.2529
9,2027,location,0,r2,0.2454
9,2027,location,1,r2,0.1617
9,2027,location,2,r2,0.3656
9,2027,location,mean,r2,0.2576
10,2027,location,0,r2,0.206
10,2027,location,1,r2,0.1754
10,2027,location,2,r2,0.3544
10,2027,location,mean,r2,0.2453
1,2028,location,0,r2,0.0787
1,2028,location,1,r2,0.1196
1,2028,location,2,r2,0.3112
1,2028,location,mean,r2,0.1698
2,2028,location,0,r2,0.0978
2,2028,location,1,r2,0.1402
2,2028,location,2,r2,0.3293
2,2028,location,mean,r2,0.1891
3,2028,location,0,r2,0.1522
3,2028,location,1,r2,0.1464
3,2028,location,2,r2,0.3532
3,2028,location,mean,r2,0.2173
4,2028,location,0,r2,0.1671
4,2028,location,1,r2,0.1492
4,2028,location,2,r2,0.3498
4,2028,location,mean,r2,0.222
5,2028,location,0,r2,0.2044
5,2028,location,1,r2,0.165
5,2028,location,2,r2,0.3648
5,2028,location,mean,r2,0.2448
6,2028,location,0,r2,0.181
6,2028,location,1,r2,0.1625
6,2028,location,2,r2,0.3503
6,2028,location,mean,r2,0.2313
7,2028,location,0,r2,0.2207
7,2028,location,1,r2,0.1508
7,2028,location,2,r2,0.36
7,2028,location,mean,r2,0.2438
8,2028,location,0,r2,0.1702
8,2028,location,1,r2,0.182
8,2028,location,2,r2,0.3701
8,2028,location,mean,r2,0.2408
9,2028,location,0,r2,0.2357
9,2028,location,1,r2,0.1962
9,2028,location,2,r2,0.3689
9,2028,location,mean,r2,0.2669
10,2028,location,0,r2,0.2332
10,2028,location,1,r2,0.1649
10,2028,location,2,r2,0.3566
10,2028,location,mean,r2,0.2516
