epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.7873
1,2026,density,1,r2,0.3485
1,2026,density,2,r2,0.8758
1,2026,density,3,r2,0.8718
1,2026,density,mean,r2,0.7209
2,2026,density,0,r2,0.8217
2,2026,density,1,r2,0.377
2,2026,density,2,r2,0.8954
2,2026,density,3,r2,0.8854
2,2026,density,mean,r2,0.7449
3,2026,density,0,r2,0.8243
3,2026,density,1,r2,0.4241
3,2026,density,2,r2,0.9051
3,2026,density,3,r2,0.898
3,2026,density,mean,r2,0.7629
4,2026,density,0,r2,0.8345
4,2026,density,1,r2,0.4417
4,2026,density,2,r2,0.9103
4,2026,density,3,r2,0.8974
4,2026,density,mean,r2,0.771
5,2026,density,0,r2,0.8299
5,2026,density,1,r2,0.4782
5,2026,density,2,r2,0.9003
5,2026,density,3,r2,0.895
5,2026,density,mean,r2,0.7758
6,2026,density,0,r2,0.8257
6,2026,density,1,r2,0.4799
6,2026,density,2,r2,0.9092
6,2026,density,3,r2,0.9066
6,2026,density,mean,r2,0.7803
7,2026,density,0,r2,0.8358
7,2026,density,1,r2,0.4949
7,2026,density,2,r2,0.9121
7,2026,density,3,r2,0.9009
7,2026,density,mean,r2,0.7859
8,2026,density,0,r2,0.8356
8,2026,density,1,r2,0.5178
8,2026,density,2,r2,0.908
8,2026,density,3,r2,0.9035
8,2026,density,mean,r2,0.7912
9,2026,density,0,r2,0.837
9,2026,density,1,r2,0.5168
9,2026,density,2,r2,0.9138
9,2026,density,3,r2,0.9028
9,2026,density,mean,r2,0.7926
10,2026,density,0,r2,0.8234
10,2026,density,1,r2,0.5529
10,2026,density,2,r2,0.9158
10,2026,density,3,r2,0.9046
10,2026,density,mean,r2,0.7992
1,2027,density,0,r2,0.8042
1,2027,density,1,r2,0.3298
1,2027,density,2,r2,0.8795
1,2027,density,3,r2,0.8621
1,2027,density,mean,r2,0.7189
2,2027,density,0,r2,0.8195
2,2027,density,1,r2,0.3995
2,2027,density,2,r2,0.8929
2,2027,density,3,r2,0.8891
2,2027,density,mean,r2,0.7503
3,2027,density,0,r2,0.8207
3,2027,density,1,r2,0.4149
3,2027,density,2,r2,0.907
3,2027,density,3,r2,0.896
3,2027,density,mean,r2,0.7596
4,2027,density,0,r2,0.8366
4,2027,density,1,r2,0.4277
4,2027,density,2,r2,0.8918
4,2027,density,3,r2,0.9017
4,2027,density,mean,r2,0.7645
5,2027,density,0,r2,0.8358
5,2027,density,1,r2,0.4556
5,2027,density,2,r2,0.906
5,2027,density,3,r2,0.8993
5,2027,density,mean,r2,0.7742
6,2027,density,0,r2,0.8408
6,2027,density,1,r2,0.4873
6,2027,density,2,r2,0.9117
6,2027,density,3,r2,0.9049
6,2027,density,mean,r2,0.7862
7,2027,density,0,r2,0.8462
7,2027,density,1,r2,0.4479
7,2027,density,2,r2,0.9133
7,2027,density,3,r2,0.9017
7,2027,density,mean,r2,0.7773
8,2027,density,0,r2,0.8388
8,2027,density,1,r2,0.5168
8,2027,density,2,r2,0.91
8,2027,density,3,r2,0.9067
8,2027,density,mean,r2,0.7931
9,2027,density,0,r2,0.8345
9,2027,density,1,r2,0.5309
9,2027,density,2,r2,0.9035
9,2027,density,3,r2,0.8991
9,2027,density,mean,r2,0.792
10,2027,density,0,r2,0.8481
10,2027,density,1,r2,0.5443
10,2027,density,2,r2,0.9205
10,2027,density,3,r2,0.9044
10,2027,density,mean,r2,0.8043
1,2028,density,0,r2,0.7852
1,2028,density,1,r2,0.3174
1,2028,density,2,r2,0.8766
1,2028,density,3,r2,0.8761
1,2028,density,mean,r2,0.7138
2,2028,density,0,r2,0.8086
2,2028,density,1,r2,0.3978
2,2028,density,2,r2,0.8923
2,2028,density,3,r2,0.8895
2,2028,density,mean,r2,0.7471
3,2028,density,0,r2,0.8294
3,2028,density,1,r2,0.4254
3,2028,density,2,r2,0.8948
3,2028,density,3,r2,0.8829
3,2028,density,mean,r2,0.7581
4,2028,density,0,r2,0.8303
4,2028,density,1,r2,0.4254
4,2028,density,2,r2,0.913
4,2028,density,3,r2,0.8994
4,2028,density,mean,r2,0.767
5,2028,density,0,r2,0.8259
5,2028,density,1,r2,0.4253
5,2028,density,2,r2,0.913
5,2028,density,3,r2,0.9006
5,2028,density,mean,r2,0.7662
6,2028,density,0,r2,0.8302
6,2028,density,1,r2,0.4894
6,2028,density,2,r2,0.8908
6,2028,density,3,r2,0.889
6,2028,density,mean,r2,0.7748
7,2028,density,0,r2,0.8338
7,2028,density,1,r2,0.4762
7,2028,density,2,r2,0.9018
7,2028,density,3,r2,0.8957
7,2028,density,mean,r2,0.7769
8,2028,density,0,r2,0.8332
8,2028,density,1,r2,0.5298
8,2028,density,2,r2,0.9114
8,2028,density,3,r2,0.9014
8,2028,density,mean,r2,0.794
9,2028,density,0,r2,0.835
9,2028,density,1,r2,0.5397
9,2028,density,2,r2,0.9094
9,2028,density,3,r2,0.9001
9,2028,density,mean,r2,0.7961
10,2028,density,0,r2,0.8406
10,2028,density,1,r2,0.4935
10,2028,density,2,r2,0.9138
10,2028,density,3,r2,0.9015
10,2028,density,mean,r2,0.7874
