epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9284
1,2026,disease,Arterial wall calcification,auroc,0.9309
1,2026,disease,Cardiomegaly,auroc,0.9295
1,2026,disease,Pericardial effusion,auroc,0.8388
1,2026,disease,Coronary artery wall calcification,auroc,0.935
1,2026,disease,Hiatal hernia,auroc,0.703
1,2026,disease,Lymphadenopathy,auroc,0.7493
1,2026,disease,Emphysema,auroc,0.7975
1,2026,disease,Atelectasis,auroc,0.8062
1,2026,disease,Lung nodule,auroc,0.7389
1,2026,disease,Lung opacity,auroc,0.8657
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7407
1,2026,disease,Pleural effusion,auroc,0.9657
1,2026,disease,Mosaic attenuation pattern,auroc,0.8842
1,2026,disease,Peribronchial thickening,auroc,0.8087
1,2026,disease,Consolidation,auroc,0.9255
1,2026,disease,Bronchiectasis,auroc,0.7913
1,2026,disease,Interlobular septal thickening,auroc,0.8692
1,2026,disease,macro,auroc,0.8449
1,2026,disease,micro,auroc,0.851
2,2026,disease,Medical material,auroc,0.9227
2,2026,disease,Arterial wall calcification,auroc,0.9317
2,2026,disease,Cardiomegaly,auroc,0.9284
2,2026,disease,Pericardial effusion,auroc,0.8517
2,2026,disease,Coronary artery wall calcification,auroc,0.9357
2,2026,disease,Hiatal hernia,auroc,0.7067
2,2026,disease,Lymphadenopathy,auroc,0.7535
2,2026,disease,Emphysema,auroc,0.8067
2,2026,disease,Atelectasis,auroc,0.8213
2,2026,disease,Lung nodule,auroc,0.7409
2,2026,disease,Lung opacity,auroc,0.8686
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7455
2,2026,disease,Pleural effusion,auroc,0.9646
2,2026,disease,Mosaic attenuation pattern,auroc,0.8869
2,2026,disease,Peribronchial thickening,auroc,0.8117
2,2026,disease,Consolidation,auroc,0.9248
2,2026,disease,Bronchiectasis,auroc,0.7968
2,2026,disease,Interlobular septal thickening,auroc,0.8821
2,2026,disease,macro,auroc,0.8489
2,2026,disease,micro,auroc,0.8575
3,2026,disease,Medical material,auroc,0.9301
3,2026,disease,Arterial wall calcification,auroc,0.931
3,2026,disease,Cardiomegaly,auroc,0.9277
3,2026,disease,Pericardial effusion,auroc,0.8647
3,2026,disease,Coronary artery wall calcification,auroc,0.9339
3,2026,disease,Hiatal hernia,auroc,0.7054
3,2026,disease,Lymphadenopathy,auroc,0.7509
3,2026,disease,Emphysema,auroc,0.8081
3,2026,disease,Atelectasis,auroc,0.8134
3,2026,disease,Lung nodule,auroc,0.7431
3,2026,disease,Lung opacity,auroc,0.8707
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7395
3,2026,disease,Pleural effusion,auroc,0.9689
3,2026,disease,Mosaic attenuation pattern,auroc,0.8859
3,2026,disease,Peribronchial thickening,auroc,0.8127
3,2026,disease,Consolidation,auroc,0.924
3,2026,disease,Bronchiectasis,auroc,0.8011
3,2026,disease,Interlobular septal thickening,auroc,0.8827
3,2026,disease,macro,auroc,0.8497
3,2026,disease,micro,auroc,0.858
4,2026,disease,Medical material,auroc,0.9283
4,2026,disease,Arterial wall calcification,auroc,0.9318
4,2026,disease,Cardiomegaly,auroc,0.9284
4,2026,disease,Pericardial effusion,auroc,0.8675
4,2026,disease,Coronary artery wall calcification,auroc,0.9353
4,2026,disease,Hiatal hernia,auroc,0.7082
4,2026,disease,Lymphadenopathy,auroc,0.7516
4,2026,disease,Emphysema,auroc,0.8071
4,2026,disease,Atelectasis,auroc,0.8203
4,2026,disease,Lung nodule,auroc,0.7403
4,2026,disease,Lung opacity,auroc,0.8714
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7381
4,2026,disease,Pleural effusion,auroc,0.9674
4,2026,disease,Mosaic attenuation pattern,auroc,0.8882
4,2026,disease,Peribronchial thickening,auroc,0.8093
4,2026,disease,Consolidation,auroc,0.924
4,2026,disease,Bronchiectasis,auroc,0.7991
4,2026,disease,Interlobular septal thickening,auroc,0.8795
4,2026,disease,macro,auroc,0.8498
4,2026,disease,micro,auroc,0.8551
5,2026,disease,Medical material,auroc,0.9291
5,2026,disease,Arterial wall calcification,auroc,0.9294
5,2026,disease,Cardiomegaly,auroc,0.9275
5,2026,disease,Pericardial effusion,auroc,0.8577
5,2026,disease,Coronary artery wall calcification,auroc,0.9336
5,2026,disease,Hiatal hernia,auroc,0.7092
5,2026,disease,Lymphadenopathy,auroc,0.7553
5,2026,disease,Emphysema,auroc,0.808
5,2026,disease,Atelectasis,auroc,0.8172
5,2026,disease,Lung nodule,auroc,0.7429
5,2026,disease,Lung opacity,auroc,0.8703
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.75
