epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.929
1,2026,disease,Arterial wall calcification,auroc,0.9295
1,2026,disease,Cardiomegaly,auroc,0.9346
1,2026,disease,Pericardial effusion,auroc,0.7903
1,2026,disease,Coronary artery wall calcification,auroc,0.9258
1,2026,disease,Hiatal hernia,auroc,0.7001
1,2026,disease,Lymphadenopathy,auroc,0.752
1,2026,disease,Emphysema,auroc,0.8219
1,2026,disease,Atelectasis,auroc,0.8005
1,2026,disease,Lung nodule,auroc,0.7475
1,2026,disease,Lung opacity,auroc,0.8837
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7483
1,2026,disease,Pleural effusion,auroc,0.9752
1,2026,disease,Mosaic attenuation pattern,auroc,0.8876
1,2026,disease,Peribronchial thickening,auroc,0.8014
1,2026,disease,Consolidation,auroc,0.9215
1,2026,disease,Bronchiectasis,auroc,0.7653
1,2026,disease,Interlobular septal thickening,auroc,0.8912
1,2026,disease,macro,auroc,0.8447
1,2026,disease,micro,auroc,0.8523
2,2026,disease,Medical material,auroc,0.9281
2,2026,disease,Arterial wall calcification,auroc,0.9294
2,2026,disease,Cardiomegaly,auroc,0.9355
2,2026,disease,Pericardial effusion,auroc,0.801
2,2026,disease,Coronary artery wall calcification,auroc,0.928
2,2026,disease,Hiatal hernia,auroc,0.7056
2,2026,disease,Lymphadenopathy,auroc,0.7572
2,2026,disease,Emphysema,auroc,0.8225
2,2026,disease,Atelectasis,auroc,0.8122
2,2026,disease,Lung nodule,auroc,0.7592
2,2026,disease,Lung opacity,auroc,0.8832
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7481
2,2026,disease,Pleural effusion,auroc,0.9736
2,2026,disease,Mosaic attenuation pattern,auroc,0.8942
2,2026,disease,Peribronchial thickening,auroc,0.8132
2,2026,disease,Consolidation,auroc,0.921
2,2026,disease,Bronchiectasis,auroc,0.7668
2,2026,disease,Interlobular septal thickening,auroc,0.8865
2,2026,disease,macro,auroc,0.8481
2,2026,disease,micro,auroc,0.8576
3,2026,disease,Medical material,auroc,0.927
3,2026,disease,Arterial wall calcification,auroc,0.9284
3,2026,disease,Cardiomegaly,auroc,0.9347
3,2026,disease,Pericardial effusion,auroc,0.8066
3,2026,disease,Coronary artery wall calcification,auroc,0.9267
3,2026,disease,Hiatal hernia,auroc,0.7006
3,2026,disease,Lymphadenopathy,auroc,0.752
3,2026,disease,Emphysema,auroc,0.8229
3,2026,disease,Atelectasis,auroc,0.809
3,2026,disease,Lung nodule,auroc,0.7546
3,2026,disease,Lung opacity,auroc,0.8869
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7464
3,2026,disease,Pleural effusion,auroc,0.9748
3,2026,disease,Mosaic attenuation pattern,auroc,0.889
3,2026,disease,Peribronchial thickening,auroc,0.8131
3,2026,disease,Consolidation,auroc,0.9233
3,2026,disease,Bronchiectasis,auroc,0.7723
3,2026,disease,Interlobular septal thickening,auroc,0.8926
3,2026,disease,macro,auroc,0.8478
3,2026,disease,micro,auroc,0.858
4,2026,disease,Medical material,auroc,0.9328
4,2026,disease,Arterial wall calcification,auroc,0.9296
4,2026,disease,Cardiomegaly,auroc,0.9339
4,2026,disease,Pericardial effusion,auroc,0.8092
4,2026,disease,Coronary artery wall calcification,auroc,0.9287
4,2026,disease,Hiatal hernia,auroc,0.7024
4,2026,disease,Lymphadenopathy,auroc,0.7592
4,2026,disease,Emphysema,auroc,0.8215
4,2026,disease,Atelectasis,auroc,0.8116
4,2026,disease,Lung nodule,auroc,0.7547
4,2026,disease,Lung opacity,auroc,0.8872
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7448
4,2026,disease,Pleural effusion,auroc,0.974
4,2026,disease,Mosaic attenuation pattern,auroc,0.8931
4,2026,disease,Peribronchial thickening,auroc,0.8129
4,2026,disease,Consolidation,auroc,0.9247
4,2026,disease,Bronchiectasis,auroc,0.7659
4,2026,disease,Interlobular septal thickening,auroc,0.89
4,2026,disease,macro,auroc,0.8487
4,2026,disease,micro,auroc,0.8558
5,2026,disease,Medical material,auroc,0.9262
5,2026,disease,Arterial wall calcification,auroc,0.9297
5,2026,disease,Cardiomegaly,auroc,0.9357
5,2026,disease,Pericardial effusion,auroc,0.8023
5,2026,disease,Coronary artery wall calcification,auroc,0.9262
5,2026,disease,Hiatal hernia,auroc,0.7005
5,2026,disease,Lymphadenopathy,auroc,0.7593
5,2026,disease,Emphysema,auroc,0.8213
5,2026,disease,Atelectasis,auroc,0.8115
5,2026,disease,Lung nodule,auroc,0.758
5,2026,disease,Lung opacity,auroc,0.8886
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.7384
5,2026,disease,Pleural effusion,auroc,0.9747
5,2026,disease,Mosaic attenuation pattern,auroc,0.8876
5,2026,disease,Peribronchial thickening,auroc,0.8188
5,2026,disease,Consolidation,auroc,0.9239
5,2026,disease,Bronchiectasis,auroc,0.7695
5,2026,disease,Interlobular septal thickening,auroc,0.89
5,2026,disease,macro,auroc,0.8479
5,2026,disease,micro,auroc,0.8584
6,2026,disease,Medical material,auroc,0.9286
6,2026,disease,Arterial wall calcification,auroc,0.9286
6,2026,disease,Cardiomegaly,auroc,0.9339
6,2026,disease,Pericardial effusion,auroc,0.8075
6,2026,disease,Coronary artery wall calcification,auroc,0.9247
6,2026,disease,Hiatal hernia,auroc,0.7044
6,2026,disease,Lymphadenopathy,auroc,0.7612
6,2026,disease,Emphysema,auroc,0.8234
6,2026,disease,Atelectasis,auroc,0.8097
6,2026,disease,Lung nodule,auroc,0.7532
6,2026,disease,Lung opacity,auroc,0.8864
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.7472
6,2026,disease,Pleural effusion,auroc,0.9731
6,2026,disease,Mosaic attenuation pattern,auroc,0.8863
6,2026,disease,Peribronchial thickening,auroc,0.8154
6,2026,disease,Consolidation,auroc,0.9223
6,2026,disease,Bronchiectasis,auroc,0.7632
6,2026,disease,Interlobular septal thickening,auroc,0.8893
6,2026,disease,macro,auroc,0.8477
6,2026,disease,micro,auroc,0.856
7,2026,disease,Medical material,auroc,0.9317
7,2026,disease,Arterial wall calcification,auroc,0.9286
7,2026,disease,Cardiomegaly,auroc,0.9288
7,2026,disease,Pericardial effusion,auroc,0.8123
7,2026,disease,Coronary artery wall calcification,auroc,0.9249
7,2026,disease,Hiatal hernia,auroc,0.7025
7,2026,disease,Lymphadenopathy,auroc,0.7582
7,2026,disease,Emphysema,auroc,0.8228
7,2026,disease,Atelectasis,auroc,0.8068
7,2026,disease,Lung nodule,auroc,0.7619
7,2026,disease,Lung opacity,auroc,0.8882
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.7465
7,2026,disease,Pleural effusion,auroc,0.9745
7,2026,disease,Mosaic attenuation pattern,auroc,0.8944
7,2026,disease,Peribronchial thickening,auroc,0.8129
7,2026,disease,Consolidation,auroc,0.9221
7,2026,disease,Bronchiectasis,auroc,0.7637
7,2026,disease,Interlobular septal thickening,auroc,0.8841
7,2026,disease,macro,auroc,0.848
