epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0485
1,2026,location,1,r2,0.1023
1,2026,location,2,r2,0.2626
1,2026,location,mean,r2,0.1378
2,2026,location,0,r2,0.0622
2,2026,location,1,r2,0.1339
2,2026,location,2,r2,0.2832
2,2026,location,mean,r2,0.1598
3,2026,location,0,r2,0.0851
3,2026,location,1,r2,0.1445
3,2026,location,2,r2,0.2659
3,2026,location,mean,r2,0.1651
4,2026,location,0,r2,0.1155
4,2026,location,1,r2,0.1639
4,2026,location,2,r2,0.2994
4,2026,location,mean,r2,0.1929
5,2026,location,0,r2,0.1171
5,2026,location,1,r2,0.1922
5,2026,location,2,r2,0.2911
5,2026,location,mean,r2,0.2001
6,2026,location,0,r2,0.1778
6,2026,location,1,r2,0.2105
6,2026,location,2,r2,0.2967
6,2026,location,mean,r2,0.2283
7,2026,location,0,r2,0.2313
7,2026,location,1,r2,0.2404
7,2026,location,2,r2,0.299
7,2026,location,mean,r2,0.2569
8,2026,location,0,r2,0.2461
8,2026,location,1,r2,0.2368
8,2026,location,2,r2,0.3004
8,2026,location,mean,r2,0.2611
9,2026,location,0,r2,0.2881
9,2026,location,1,r2,0.2456
9,2026,location,2,r2,0.3079
9,2026,location,mean,r2,0.2805
10,2026,location,0,r2,0.2841
10,2026,location,1,r2,0.2526
10,2026,location,2,r2,0.3127
10,2026,location,mean,r2,0.2831
1,2027,location,0,r2,0.0447
1,2027,location,1,r2,0.0996
1,2027,location,2,r2,0.2577
1,2027,location,mean,r2,0.134
2,2027,location,0,r2,0.0569
2,2027,location,1,r2,0.1226
2,2027,location,2,r2,0.2464
2,2027,location,mean,r2,0.1419
3,2027,location,0,r2,0.0663
3,2027,location,1,r2,0.1325
3,2027,location,2,r2,0.2836
3,2027,location,mean,r2,0.1608
4,2027,location,0,r2,0.0944
4,2027,location,1,r2,0.164
4,2027,location,2,r2,0.2799
4,2027,location,mean,r2,0.1794
5,2027,location,0,r2,0.1279
5,2027,location,1,r2,0.1664
5,2027,location,2,r2,0.2987
5,2027,location,mean,r2,0.1977
6,2027,location,0,r2,0.1418
6,2027,location,1,r2,0.1869
6,2027,location,2,r2,0.2988
6,2027,location,mean,r2,0.2092
7,2027,location,0,r2,0.1456
7,2027,location,1,r2,0.1872
7,2027,location,2,r2,0.3078
7,2027,location,mean,r2,0.2135
8,2027,location,0,r2,0.1462
8,2027,location,1,r2,0.2187
8,2027,location,2,r2,0.3225
8,2027,location,mean,r2,0.2291
9,2027,location,0,r2,0.1728
9,2027,location,1,r2,0.1943
9,2027,location,2,r2,0.3232
9,2027,location,mean,r2,0.2301
10,2027,location,0,r2,0.2214
10,2027,location,1,r2,0.2208
10,2027,location,2,r2,0.2964
10,2027,location,mean,r2,0.2462
1,2028,location,0,r2,0.0383
1,2028,location,1,r2,0.0814
1,2028,location,2,r2,0.2612
1,2028,location,mean,r2,0.127
2,2028,location,0,r2,0.0447
2,2028,location,1,r2,0.082
2,2028,location,2,r2,0.2859
2,2028,location,mean,r2,0.1375
3,2028,location,0,r2,0.0472
3,2028,location,1,r2,0.1066
3,2028,location,2,r2,0.3019
3,2028,location,mean,r2,0.1519
4,2028,location,0,r2,0.0639
4,2028,location,1,r2,0.1122
4,2028,location,2,r2,0.3022
4,2028,location,mean,r2,0.1594
5,2028,location,0,r2,0.0817
5,2028,location,1,r2,0.1263
5,2028,location,2,r2,0.313
5,2028,location,mean,r2,0.1737
6,2028,location,0,r2,0.0924
6,2028,location,1,r2,0.1552
6,2028,location,2,r2,0.3203
6,2028,location,mean,r2,0.1893
7,2028,location,0,r2,0.0899
7,2028,location,1,r2,0.1532
7,2028,location,2,r2,0.3129
7,2028,location,mean,r2,0.1854
8,2028,location,0,r2,0.1148
8,2028,location,1,r2,0.1564
8,2028,location,2,r2,0.3209
8,2028,location,mean,r2,0.1974
9,2028,location,0,r2,0.1419
9,2028,location,1,r2,0.1581
9,2028,location,2,r2,0.3228
9,2028,location,mean,r2,0.2076
10,2028,location,0,r2,0.1475
10,2028,location,1,r2,0.1693
10,2028,location,2,r2,0.291
10,2028,location,mean,r2,0.2026
