epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8816
1,2026,radiomics,1,r2,0.1781
1,2026,radiomics,2,r2,0.7766
1,2026,radiomics,mean,r2,0.6121
2,2026,radiomics,0,r2,0.8974
2,2026,radiomics,1,r2,0.2036
2,2026,radiomics,2,r2,0.8059
2,2026,radiomics,mean,r2,0.6356
3,2026,radiomics,0,r2,0.9073
3,2026,radiomics,1,r2,0.208
3,2026,radiomics,2,r2,0.8292
3,2026,radiomics,mean,r2,0.6482
4,2026,radiomics,0,r2,0.9142
4,2026,radiomics,1,r2,0.2073
4,2026,radiomics,2,r2,0.8241
4,2026,radiomics,mean,r2,0.6486
5,2026,radiomics,0,r2,0.903
5,2026,radiomics,1,r2,0.2375
5,2026,radiomics,2,r2,0.8034
5,2026,radiomics,mean,r2,0.648
6,2026,radiomics,0,r2,0.9113
6,2026,radiomics,1,r2,0.2544
6,2026,radiomics,2,r2,0.8337
6,2026,radiomics,mean,r2,0.6664
7,2026,radiomics,0,r2,0.9116
7,2026,radiomics,1,r2,0.2633
7,2026,radiomics,2,r2,0.8435
7,2026,radiomics,mean,r2,0.6728
8,2026,radiomics,0,r2,0.9157
8,2026,radiomics,1,r2,0.2424
8,2026,radiomics,2,r2,0.8392
8,2026,radiomics,mean,r2,0.6657
9,2026,radiomics,0,r2,0.9119
9,2026,radiomics,1,r2,0.2457
9,2026,radiomics,2,r2,0.8381
9,2026,radiomics,mean,r2,0.6652
10,2026,radiomics,0,r2,0.9192
10,2026,radiomics,1,r2,0.2739
10,2026,radiomics,2,r2,0.8416
10,2026,radiomics,mean,r2,0.6782
1,2027,radiomics,0,r2,0.8839
1,2027,radiomics,1,r2,0.1388
1,2027,radiomics,2,r2,0.7841
1,2027,radiomics,mean,r2,0.6023
2,2027,radiomics,0,r2,0.8964
2,2027,radiomics,1,r2,0.1972
2,2027,radiomics,2,r2,0.817
2,2027,radiomics,mean,r2,0.6369
3,2027,radiomics,0,r2,0.9002
3,2027,radiomics,1,r2,0.2221
3,2027,radiomics,2,r2,0.8109
3,2027,radiomics,mean,r2,0.6444
4,2027,radiomics,0,r2,0.9108
4,2027,radiomics,1,r2,0.2161
4,2027,radiomics,2,r2,0.8268
4,2027,radiomics,mean,r2,0.6513
5,2027,radiomics,0,r2,0.9103
5,2027,radiomics,1,r2,0.21
5,2027,radiomics,2,r2,0.8342
5,2027,radiomics,mean,r2,0.6515
6,2027,radiomics,0,r2,0.9111
6,2027,radiomics,1,r2,0.2301
6,2027,radiomics,2,r2,0.8339
6,2027,radiomics,mean,r2,0.6583
7,2027,radiomics,0,r2,0.9115
7,2027,radiomics,1,r2,0.2395
7,2027,radiomics,2,r2,0.8372
7,2027,radiomics,mean,r2,0.6627
8,2027,radiomics,0,r2,0.9155
8,2027,radiomics,1,r2,0.2104
8,2027,radiomics,2,r2,0.8348
8,2027,radiomics,mean,r2,0.6535
9,2027,radiomics,0,r2,0.9168
9,2027,radiomics,1,r2,0.1976
9,2027,radiomics,2,r2,0.8261
9,2027,radiomics,mean,r2,0.6469
10,2027,radiomics,0,r2,0.9167
10,2027,radiomics,1,r2,0.2545
10,2027,radiomics,2,r2,0.8232
10,2027,radiomics,mean,r2,0.6648
1,2028,radiomics,0,r2,0.8924
1,2028,radiomics,1,r2,0.1932
1,2028,radiomics,2,r2,0.7672
1,2028,radiomics,mean,r2,0.6176
2,2028,radiomics,0,r2,0.9038
2,2028,radiomics,1,r2,0.2044
2,2028,radiomics,2,r2,0.8197
2,2028,radiomics,mean,r2,0.6426
3,2028,radiomics,0,r2,0.9153
3,2028,radiomics,1,r2,0.2095
3,2028,radiomics,2,r2,0.8155
3,2028,radiomics,mean,r2,0.6468
4,2028,radiomics,0,r2,0.8937
4,2028,radiomics,1,r2,0.2222
4,2028,radiomics,2,r2,0.8083
4,2028,radiomics,mean,r2,0.6414
5,2028,radiomics,0,r2,0.9125
5,2028,radiomics,1,r2,0.2322
5,2028,radiomics,2,r2,0.8348
5,2028,radiomics,mean,r2,0.6598
6,2028,radiomics,0,r2,0.9124
6,2028,radiomics,1,r2,0.2446
6,2028,radiomics,2,r2,0.8389
6,2028,radiomics,mean,r2,0.6653
7,2028,radiomics,0,r2,0.9191
7,2028,radiomics,1,r2,0.256
7,2028,radiomics,2,r2,0.8354
7,2028,radiomics,mean,r2,0.6702
8,2028,radiomics,0,r2,0.9054
8,2028,radiomics,1,r2,0.2351
8,2028,radiomics,2,r2,0.8331
8,2028,radiomics,mean,r2,0.6579
9,2028,radiomics,0,r2,0.9119
9,2028,radiomics,1,r2,0.278
9,2028,radiomics,2,r2,0.83
9,2028,radiomics,mean,r2,0.6733
10,2028,radiomics,0,r2,0.9158
10,2028,radiomics,1,r2,0.271
10,2028,radiomics,2,r2,0.8335
10,2028,radiomics,mean,r2,0.6734
