epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8941
1,2026,radiomics,1,r2,0.1227
1,2026,radiomics,2,r2,0.7634
1,2026,radiomics,mean,r2,0.5934
2,2026,radiomics,0,r2,0.9087
2,2026,radiomics,1,r2,0.1409
2,2026,radiomics,2,r2,0.8116
2,2026,radiomics,mean,r2,0.6204
3,2026,radiomics,0,r2,0.9246
3,2026,radiomics,1,r2,0.1497
3,2026,radiomics,2,r2,0.831
3,2026,radiomics,mean,r2,0.6351
4,2026,radiomics,0,r2,0.9252
4,2026,radiomics,1,r2,0.1474
4,2026,radiomics,2,r2,0.8282
4,2026,radiomics,mean,r2,0.6336
5,2026,radiomics,0,r2,0.9131
5,2026,radiomics,1,r2,0.1902
5,2026,radiomics,2,r2,0.8234
5,2026,radiomics,mean,r2,0.6422
6,2026,radiomics,0,r2,0.922
6,2026,radiomics,1,r2,0.1989
6,2026,radiomics,2,r2,0.827
6,2026,radiomics,mean,r2,0.6493
7,2026,radiomics,0,r2,0.9228
7,2026,radiomics,1,r2,0.2565
7,2026,radiomics,2,r2,0.8467
7,2026,radiomics,mean,r2,0.6753
8,2026,radiomics,0,r2,0.9236
8,2026,radiomics,1,r2,0.2461
8,2026,radiomics,2,r2,0.8396
8,2026,radiomics,mean,r2,0.6698
9,2026,radiomics,0,r2,0.9249
9,2026,radiomics,1,r2,0.2102
9,2026,radiomics,2,r2,0.8423
9,2026,radiomics,mean,r2,0.6591
10,2026,radiomics,0,r2,0.9302
10,2026,radiomics,1,r2,0.3467
10,2026,radiomics,2,r2,0.8523
10,2026,radiomics,mean,r2,0.7098
1,2027,radiomics,0,r2,0.8934
1,2027,radiomics,1,r2,0.1039
1,2027,radiomics,2,r2,0.7666
1,2027,radiomics,mean,r2,0.588
2,2027,radiomics,0,r2,0.913
2,2027,radiomics,1,r2,0.1318
2,2027,radiomics,2,r2,0.8115
2,2027,radiomics,mean,r2,0.6188
3,2027,radiomics,0,r2,0.9139
3,2027,radiomics,1,r2,0.1298
3,2027,radiomics,2,r2,0.8239
3,2027,radiomics,mean,r2,0.6226
4,2027,radiomics,0,r2,0.9243
4,2027,radiomics,1,r2,0.151
4,2027,radiomics,2,r2,0.8307
4,2027,radiomics,mean,r2,0.6353
5,2027,radiomics,0,r2,0.9208
5,2027,radiomics,1,r2,0.1494
5,2027,radiomics,2,r2,0.8414
5,2027,radiomics,mean,r2,0.6372
6,2027,radiomics,0,r2,0.9188
6,2027,radiomics,1,r2,0.1543
6,2027,radiomics,2,r2,0.8444
6,2027,radiomics,mean,r2,0.6392
7,2027,radiomics,0,r2,0.9204
7,2027,radiomics,1,r2,0.152
7,2027,radiomics,2,r2,0.8401
7,2027,radiomics,mean,r2,0.6375
8,2027,radiomics,0,r2,0.9242
8,2027,radiomics,1,r2,0.1649
8,2027,radiomics,2,r2,0.8405
8,2027,radiomics,mean,r2,0.6432
9,2027,radiomics,0,r2,0.9243
9,2027,radiomics,1,r2,0.1729
9,2027,radiomics,2,r2,0.8416
9,2027,radiomics,mean,r2,0.6463
10,2027,radiomics,0,r2,0.9261
10,2027,radiomics,1,r2,0.2433
10,2027,radiomics,2,r2,0.8387
10,2027,radiomics,mean,r2,0.6693
1,2028,radiomics,0,r2,0.9058
1,2028,radiomics,1,r2,0.1237
1,2028,radiomics,2,r2,0.7638
1,2028,radiomics,mean,r2,0.5977
2,2028,radiomics,0,r2,0.9168
2,2028,radiomics,1,r2,0.1418
2,2028,radiomics,2,r2,0.8161
2,2028,radiomics,mean,r2,0.6249
3,2028,radiomics,0,r2,0.9271
3,2028,radiomics,1,r2,0.1265
3,2028,radiomics,2,r2,0.8223
3,2028,radiomics,mean,r2,0.6253
4,2028,radiomics,0,r2,0.9081
4,2028,radiomics,1,r2,0.1527
4,2028,radiomics,2,r2,0.8273
4,2028,radiomics,mean,r2,0.6293
5,2028,radiomics,0,r2,0.9233
5,2028,radiomics,1,r2,0.1681
5,2028,radiomics,2,r2,0.8412
5,2028,radiomics,mean,r2,0.6442
6,2028,radiomics,0,r2,0.9233
6,2028,radiomics,1,r2,0.183
6,2028,radiomics,2,r2,0.8334
6,2028,radiomics,mean,r2,0.6466
7,2028,radiomics,0,r2,0.9314
7,2028,radiomics,1,r2,0.1977
7,2028,radiomics,2,r2,0.8348
7,2028,radiomics,mean,r2,0.6546
8,2028,radiomics,0,r2,0.9187
8,2028,radiomics,1,r2,0.1663
8,2028,radiomics,2,r2,0.8429
8,2028,radiomics,mean,r2,0.6426
9,2028,radiomics,0,r2,0.9273
9,2028,radiomics,1,r2,0.2356
9,2028,radiomics,2,r2,0.825
9,2028,radiomics,mean,r2,0.6626
10,2028,radiomics,0,r2,0.9284
10,2028,radiomics,1,r2,0.2325
10,2028,radiomics,2,r2,0.8383
10,2028,radiomics,mean,r2,0.6664
