epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8554
1,2026,size,1,r2,0.539
1,2026,size,2,r2,0.479
1,2026,size,3,r2,0.6197
1,2026,size,4,r2,0.7166
1,2026,size,mean,r2,0.6419
2,2026,size,0,r2,0.8339
2,2026,size,1,r2,0.5337
2,2026,size,2,r2,0.5143
2,2026,size,3,r2,0.638
2,2026,size,4,r2,0.7102
2,2026,size,mean,r2,0.646
3,2026,size,0,r2,0.8632
3,2026,size,1,r2,0.5557
3,2026,size,2,r2,0.5178
3,2026,size,3,r2,0.639
3,2026,size,4,r2,0.7286
3,2026,size,mean,r2,0.6609
4,2026,size,0,r2,0.8669
4,2026,size,1,r2,0.5573
4,2026,size,2,r2,0.5283
4,2026,size,3,r2,0.6416
4,2026,size,4,r2,0.7329
4,2026,size,mean,r2,0.6654
5,2026,size,0,r2,0.8647
5,2026,size,1,r2,0.5777
5,2026,size,2,r2,0.5307
5,2026,size,3,r2,0.6466
5,2026,size,4,r2,0.742
5,2026,size,mean,r2,0.6723
6,2026,size,0,r2,0.8651
6,2026,size,1,r2,0.5836
6,2026,size,2,r2,0.5309
6,2026,size,3,r2,0.6534
6,2026,size,4,r2,0.7454
6,2026,size,mean,r2,0.6757
7,2026,size,0,r2,0.8796
7,2026,size,1,r2,0.5968
7,2026,size,2,r2,0.541
7,2026,size,3,r2,0.6593
7,2026,size,4,r2,0.7573
7,2026,size,mean,r2,0.6868
8,2026,size,0,r2,0.8716
8,2026,size,1,r2,0.572
8,2026,size,2,r2,0.5339
8,2026,size,3,r2,0.6406
8,2026,size,4,r2,0.7469
8,2026,size,mean,r2,0.673
9,2026,size,0,r2,0.8754
9,2026,size,1,r2,0.574
9,2026,size,2,r2,0.5344
9,2026,size,3,r2,0.6564
9,2026,size,4,r2,0.7474
9,2026,size,mean,r2,0.6775
10,2026,size,0,r2,0.8772
10,2026,size,1,r2,0.5853
10,2026,size,2,r2,0.5184
10,2026,size,3,r2,0.6419
10,2026,size,4,r2,0.7513
10,2026,size,mean,r2,0.6748
1,2027,size,0,r2,0.8408
1,2027,size,1,r2,0.5363
1,2027,size,2,r2,0.4851
1,2027,size,3,r2,0.6239
1,2027,size,4,r2,0.701
1,2027,size,mean,r2,0.6374
2,2027,size,0,r2,0.8464
2,2027,size,1,r2,0.5419
2,2027,size,2,r2,0.4938
2,2027,size,3,r2,0.6315
2,2027,size,4,r2,0.7216
2,2027,size,mean,r2,0.647
3,2027,size,0,r2,0.8557
3,2027,size,1,r2,0.5508
3,2027,size,2,r2,0.5024
3,2027,size,3,r2,0.6425
3,2027,size,4,r2,0.7362
3,2027,size,mean,r2,0.6575
4,2027,size,0,r2,0.869
4,2027,size,1,r2,0.5758
4,2027,size,2,r2,0.5072
4,2027,size,3,r2,0.6428
4,2027,size,4,r2,0.7364
4,2027,size,mean,r2,0.6662
5,2027,size,0,r2,0.8656
5,2027,size,1,r2,0.5632
5,2027,size,2,r2,0.4985
5,2027,size,3,r2,0.6333
5,2027,size,4,r2,0.7293
5,2027,size,mean,r2,0.658
6,2027,size,0,r2,0.858
6,2027,size,1,r2,0.5539
6,2027,size,2,r2,0.5063
6,2027,size,3,r2,0.6463
6,2027,size,4,r2,0.7269
6,2027,size,mean,r2,0.6583
7,2027,size,0,r2,0.8666
7,2027,size,1,r2,0.5861
7,2027,size,2,r2,0.519
7,2027,size,3,r2,0.6311
7,2027,size,4,r2,0.731
7,2027,size,mean,r2,0.6668
8,2027,size,0,r2,0.8556
8,2027,size,1,r2,0.5815
8,2027,size,2,r2,0.5213
8,2027,size,3,r2,0.6258
8,2027,size,4,r2,0.7407
8,2027,size,mean,r2,0.665
9,2027,size,0,r2,0.8702
9,2027,size,1,r2,0.5539
9,2027,size,2,r2,0.497
9,2027,size,3,r2,0.6302
9,2027,size,4,r2,0.7417
9,2027,size,mean,r2,0.6586
