epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8276
1,2026,size,1,r2,0.4993
1,2026,size,2,r2,0.497
1,2026,size,3,r2,0.5676
1,2026,size,4,r2,0.6974
1,2026,size,mean,r2,0.6178
2,2026,size,0,r2,0.8114
2,2026,size,1,r2,0.5183
2,2026,size,2,r2,0.5297
2,2026,size,3,r2,0.584
2,2026,size,4,r2,0.7053
2,2026,size,mean,r2,0.6297
3,2026,size,0,r2,0.8446
3,2026,size,1,r2,0.5416
3,2026,size,2,r2,0.5439
3,2026,size,3,r2,0.5875
3,2026,size,4,r2,0.7291
3,2026,size,mean,r2,0.6493
4,2026,size,0,r2,0.8433
4,2026,size,1,r2,0.5413
4,2026,size,2,r2,0.5451
4,2026,size,3,r2,0.608
4,2026,size,4,r2,0.7222
4,2026,size,mean,r2,0.652
5,2026,size,0,r2,0.841
5,2026,size,1,r2,0.5524
5,2026,size,2,r2,0.5433
5,2026,size,3,r2,0.6125
5,2026,size,4,r2,0.7438
5,2026,size,mean,r2,0.6586
6,2026,size,0,r2,0.8353
6,2026,size,1,r2,0.5448
6,2026,size,2,r2,0.5401
6,2026,size,3,r2,0.6014
6,2026,size,4,r2,0.7436
6,2026,size,mean,r2,0.653
7,2026,size,0,r2,0.8505
7,2026,size,1,r2,0.5662
7,2026,size,2,r2,0.5486
7,2026,size,3,r2,0.617
7,2026,size,4,r2,0.7534
7,2026,size,mean,r2,0.6671
8,2026,size,0,r2,0.8496
8,2026,size,1,r2,0.5673
8,2026,size,2,r2,0.5598
8,2026,size,3,r2,0.6217
8,2026,size,4,r2,0.7512
8,2026,size,mean,r2,0.6699
9,2026,size,0,r2,0.8484
9,2026,size,1,r2,0.5596
9,2026,size,2,r2,0.546
9,2026,size,3,r2,0.6166
9,2026,size,4,r2,0.7494
9,2026,size,mean,r2,0.664
10,2026,size,0,r2,0.8582
10,2026,size,1,r2,0.5581
10,2026,size,2,r2,0.5489
10,2026,size,3,r2,0.6172
10,2026,size,4,r2,0.76
10,2026,size,mean,r2,0.6685
1,2027,size,0,r2,0.8118
1,2027,size,1,r2,0.5091
1,2027,size,2,r2,0.4962
1,2027,size,3,r2,0.581
1,2027,size,4,r2,0.7015
1,2027,size,mean,r2,0.6199
2,2027,size,0,r2,0.827
2,2027,size,1,r2,0.5205
2,2027,size,2,r2,0.5279
2,2027,size,3,r2,0.5981
2,2027,size,4,r2,0.7157
