epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.2987
1,2026,density_merlin,1,r2,0.6173
1,2026,density_merlin,2,r2,0.0263
1,2026,density_merlin,mean,r2,0.3141
2,2026,density_merlin,0,r2,0.4569
2,2026,density_merlin,1,r2,0.6556
2,2026,density_merlin,2,r2,0.0092
2,2026,density_merlin,mean,r2,0.3739
3,2026,density_merlin,0,r2,0.5958
3,2026,density_merlin,1,r2,0.6894
3,2026,density_merlin,2,r2,0.0894
3,2026,density_merlin,mean,r2,0.4582
4,2026,density_merlin,0,r2,0.6669
4,2026,density_merlin,1,r2,0.5755
4,2026,density_merlin,2,r2,0.1367
4,2026,density_merlin,mean,r2,0.4597
5,2026,density_merlin,0,r2,0.7195
5,2026,density_merlin,1,r2,0.705
5,2026,density_merlin,2,r2,0.1601
5,2026,density_merlin,mean,r2,0.5282
6,2026,density_merlin,0,r2,0.7306
6,2026,density_merlin,1,r2,0.6702
6,2026,density_merlin,2,r2,0.2101
6,2026,density_merlin,mean,r2,0.537
7,2026,density_merlin,0,r2,0.75
7,2026,density_merlin,1,r2,0.7925
7,2026,density_merlin,2,r2,0.3075
7,2026,density_merlin,mean,r2,0.6167
8,2026,density_merlin,0,r2,0.6713
8,2026,density_merlin,1,r2,0.7824
8,2026,density_merlin,2,r2,0.2796
8,2026,density_merlin,mean,r2,0.5778
9,2026,density_merlin,0,r2,0.7615
9,2026,density_merlin,1,r2,0.8073
9,2026,density_merlin,2,r2,0.3608
9,2026,density_merlin,mean,r2,0.6432
10,2026,density_merlin,0,r2,0.5463
10,2026,density_merlin,1,r2,0.7825
10,2026,density_merlin,2,r2,0.3793
10,2026,density_merlin,mean,r2,0.5694
1,2027,density_merlin,0,r2,0.2392
1,2027,density_merlin,1,r2,0.5988
1,2027,density_merlin,2,r2,0.0377
1,2027,density_merlin,mean,r2,0.2919
2,2027,density_merlin,0,r2,0.4745
2,2027,density_merlin,1,r2,0.6695
2,2027,density_merlin,2,r2,0.0544
2,2027,density_merlin,mean,r2,0.3995
3,2027,density_merlin,0,r2,0.5549
3,2027,density_merlin,1,r2,0.7217
3,2027,density_merlin,2,r2,0.0701
3,2027,density_merlin,mean,r2,0.4489
4,2027,density_merlin,0,r2,0.6591
4,2027,density_merlin,1,r2,0.7446
4,2027,density_merlin,2,r2,0.116
4,2027,density_merlin,mean,r2,0.5066
5,2027,density_merlin,0,r2,0.6435
5,2027,density_merlin,1,r2,0.7131
5,2027,density_merlin,2,r2,0.1447
5,2027,density_merlin,mean,r2,0.5004
6,2027,density_merlin,0,r2,0.7295
6,2027,density_merlin,1,r2,0.768
6,2027,density_merlin,2,r2,0.1572
6,2027,density_merlin,mean,r2,0.5516
7,2027,density_merlin,0,r2,0.727
7,2027,density_merlin,1,r2,0.7529
7,2027,density_merlin,2,r2,0.2232
7,2027,density_merlin,mean,r2,0.5677
8,2027,density_merlin,0,r2,0.7346
8,2027,density_merlin,1,r2,0.7173
8,2027,density_merlin,2,r2,0.254
8,2027,density_merlin,mean,r2,0.5686
9,2027,density_merlin,0,r2,0.7096
9,2027,density_merlin,1,r2,0.7948
9,2027,density_merlin,2,r2,0.2916
9,2027,density_merlin,mean,r2,0.5987
10,2027,density_merlin,0,r2,0.7161
10,2027,density_merlin,1,r2,0.7933
10,2027,density_merlin,2,r2,0.2576
10,2027,density_merlin,mean,r2,0.589
1,2028,density_merlin,0,r2,0.2985
1,2028,density_merlin,1,r2,0.6121
1,2028,density_merlin,2,r2,0.0525
1,2028,density_merlin,mean,r2,0.321
2,2028,density_merlin,0,r2,0.4954
2,2028,density_merlin,1,r2,0.6791
2,2028,density_merlin,2,r2,0.0712
2,2028,density_merlin,mean,r2,0.4152
3,2028,density_merlin,0,r2,0.5933
3,2028,density_merlin,1,r2,0.6685
3,2028,density_merlin,2,r2,0.1042
3,2028,density_merlin,mean,r2,0.4554
4,2028,density_merlin,0,r2,0.6876
4,2028,density_merlin,1,r2,0.7226
4,2028,density_merlin,2,r2,0.1668
4,2028,density_merlin,mean,r2,0.5257
5,2028,density_merlin,0,r2,0.6896
5,2028,density_merlin,1,r2,0.7596
5,2028,density_merlin,2,r2,0.2227
5,2028,density_merlin,mean,r2,0.5573
6,2028,density_merlin,0,r2,0.6897
6,2028,density_merlin,1,r2,0.7326
6,2028,density_merlin,2,r2,0.2672
6,2028,density_merlin,mean,r2,0.5632
7,2028,density_merlin,0,r2,0.685
7,2028,density_merlin,1,r2,0.7487
7,2028,density_merlin,2,r2,0.1232
7,2028,density_merlin,mean,r2,0.5189
8,2028,density_merlin,0,r2,0.7342
8,2028,density_merlin,1,r2,0.7838
8,2028,density_merlin,2,r2,0.2866
8,2028,density_merlin,mean,r2,0.6015
9,2028,density_merlin,0,r2,0.7505
9,2028,density_merlin,1,r2,0.7909
9,2028,density_merlin,2,r2,0.3154
9,2028,density_merlin,mean,r2,0.6189
10,2028,density_merlin,0,r2,0.7245
10,2028,density_merlin,1,r2,0.7483
10,2028,density_merlin,2,r2,0.3367
10,2028,density_merlin,mean,r2,0.6031
