epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.0747
1,2026,size_merlin,1,r2,0.0215
1,2026,size_merlin,2,r2,0.0873
1,2026,size_merlin,3,r2,0.0026
1,2026,size_merlin,4,r2,0.2781
1,2026,size_merlin,5,r2,0.071
1,2026,size_merlin,mean,r2,0.0892
2,2026,size_merlin,0,r2,0.1491
2,2026,size_merlin,1,r2,0.0612
2,2026,size_merlin,2,r2,0.1806
2,2026,size_merlin,3,r2,0.0134
2,2026,size_merlin,4,r2,0.304
2,2026,size_merlin,5,r2,0.0826
2,2026,size_merlin,mean,r2,0.1318
3,2026,size_merlin,0,r2,0.239
3,2026,size_merlin,1,r2,0.1616
3,2026,size_merlin,2,r2,0.3204
3,2026,size_merlin,3,r2,0.2012
3,2026,size_merlin,4,r2,0.3723
3,2026,size_merlin,5,r2,0.1207
3,2026,size_merlin,mean,r2,0.2359
4,2026,size_merlin,0,r2,0.2977
4,2026,size_merlin,1,r2,0.225
4,2026,size_merlin,2,r2,0.3313
4,2026,size_merlin,3,r2,0.2578
4,2026,size_merlin,4,r2,0.3972
4,2026,size_merlin,5,r2,0.1402
4,2026,size_merlin,mean,r2,0.2749
5,2026,size_merlin,0,r2,0.424
5,2026,size_merlin,1,r2,0.3157
5,2026,size_merlin,2,r2,0.2942
5,2026,size_merlin,3,r2,0.2224
5,2026,size_merlin,4,r2,0.4068
5,2026,size_merlin,5,r2,0.1375
5,2026,size_merlin,mean,r2,0.3001
6,2026,size_merlin,0,r2,0.4214
6,2026,size_merlin,1,r2,0.3518
6,2026,size_merlin,2,r2,0.1999
6,2026,size_merlin,3,r2,0.2091
6,2026,size_merlin,4,r2,0.4022
6,2026,size_merlin,5,r2,0.143
6,2026,size_merlin,mean,r2,0.2879
7,2026,size_merlin,0,r2,0.6257
7,2026,size_merlin,1,r2,0.4967
7,2026,size_merlin,2,r2,0.2867
7,2026,size_merlin,3,r2,0.2519
7,2026,size_merlin,4,r2,0.4316
7,2026,size_merlin,5,r2,0.1333
7,2026,size_merlin,mean,r2,0.371
8,2026,size_merlin,0,r2,0.6194
8,2026,size_merlin,1,r2,0.5115
8,2026,size_merlin,2,r2,0.2339
8,2026,size_merlin,3,r2,0.2429
8,2026,size_merlin,4,r2,0.4575
8,2026,size_merlin,5,r2,0.1568
8,2026,size_merlin,mean,r2,0.3703
9,2026,size_merlin,0,r2,0.6813
9,2026,size_merlin,1,r2,0.5692
9,2026,size_merlin,2,r2,0.2564
9,2026,size_merlin,3,r2,0.2279
9,2026,size_merlin,4,r2,0.4248
9,2026,size_merlin,5,r2,0.1401
9,2026,size_merlin,mean,r2,0.3832
10,2026,size_merlin,0,r2,0.7226
10,2026,size_merlin,1,r2,0.6126
10,2026,size_merlin,2,r2,0.2692
10,2026,size_merlin,3,r2,0.2735
10,2026,size_merlin,4,r2,0.472
10,2026,size_merlin,5,r2,0.1597
10,2026,size_merlin,mean,r2,0.4182
1,2027,size_merlin,0,r2,0.1132
1,2027,size_merlin,1,r2,0.047
1,2027,size_merlin,2,r2,0.1491
1,2027,size_merlin,3,r2,0.0237
1,2027,size_merlin,4,r2,0.2799
1,2027,size_merlin,5,r2,0.0615
1,2027,size_merlin,mean,r2,0.1124
2,2027,size_merlin,0,r2,0.196
2,2027,size_merlin,1,r2,0.1109
2,2027,size_merlin,2,r2,0.2831
2,2027,size_merlin,3,r2,0.1449
2,2027,size_merlin,4,r2,0.3011
2,2027,size_merlin,5,r2,0.0784
2,2027,size_merlin,mean,r2,0.1857
3,2027,size_merlin,0,r2,0.2586
3,2027,size_merlin,1,r2,0.1795
3,2027,size_merlin,2,r2,0.3334
3,2027,size_merlin,3,r2,0.2514
3,2027,size_merlin,4,r2,0.3605
3,2027,size_merlin,5,r2,0.099
3,2027,size_merlin,mean,r2,0.247
4,2027,size_merlin,0,r2,0.412
4,2027,size_merlin,1,r2,0.3204
4,2027,size_merlin,2,r2,0.2903
4,2027,size_merlin,3,r2,0.2442
4,2027,size_merlin,4,r2,0.3688
4,2027,size_merlin,5,r2,0.1145
4,2027,size_merlin,mean,r2,0.2917
5,2027,size_merlin,0,r2,0.5556
5,2027,size_merlin,1,r2,0.4368
5,2027,size_merlin,2,r2,0.2417
5,2027,size_merlin,3,r2,0.2085
5,2027,size_merlin,4,r2,0.4236
5,2027,size_merlin,5,r2,0.1444
5,2027,size_merlin,mean,r2,0.3351
6,2027,size_merlin,0,r2,0.674
6,2027,size_merlin,1,r2,0.5475
6,2027,size_merlin,2,r2,0.2605
6,2027,size_merlin,3,r2,0.2264
6,2027,size_merlin,4,r2,0.4538
6,2027,size_merlin,5,r2,0.1609
6,2027,size_merlin,mean,r2,0.3872
7,2027,size_merlin,0,r2,0.7485
7,2027,size_merlin,1,r2,0.6281
7,2027,size_merlin,2,r2,0.2769
7,2027,size_merlin,3,r2,0.2515
7,2027,size_merlin,4,r2,0.462
7,2027,size_merlin,5,r2,0.1691
7,2027,size_merlin,mean,r2,0.4226
8,2027,size_merlin,0,r2,0.7423
8,2027,size_merlin,1,r2,0.6258
8,2027,size_merlin,2,r2,0.2725
8,2027,size_merlin,3,r2,0.2537
8,2027,size_merlin,4,r2,0.4678
8,2027,size_merlin,5,r2,0.1654
8,2027,size_merlin,mean,r2,0.4213
9,2027,size_merlin,0,r2,0.7576
9,2027,size_merlin,1,r2,0.6374
9,2027,size_merlin,2,r2,0.2973
9,2027,size_merlin,3,r2,0.2793
9,2027,size_merlin,4,r2,0.4398
9,2027,size_merlin,5,r2,0.1473
9,2027,size_merlin,mean,r2,0.4264
