epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.0857
1,2026,size_merlin,1,r2,0.0251
1,2026,size_merlin,2,r2,0.1
1,2026,size_merlin,3,r2,0.0054
1,2026,size_merlin,4,r2,0.265
1,2026,size_merlin,5,r2,0.0631
1,2026,size_merlin,mean,r2,0.0907
2,2026,size_merlin,0,r2,0.1635
2,2026,size_merlin,1,r2,0.0739
2,2026,size_merlin,2,r2,0.2071
2,2026,size_merlin,3,r2,0.0194
2,2026,size_merlin,4,r2,0.2809
2,2026,size_merlin,5,r2,0.0735
2,2026,size_merlin,mean,r2,0.1364
3,2026,size_merlin,0,r2,0.2595
3,2026,size_merlin,1,r2,0.1928
3,2026,size_merlin,2,r2,0.3618
3,2026,size_merlin,3,r2,0.2425
3,2026,size_merlin,4,r2,0.3473
3,2026,size_merlin,5,r2,0.1133
3,2026,size_merlin,mean,r2,0.2529
4,2026,size_merlin,0,r2,0.3104
4,2026,size_merlin,1,r2,0.2566
4,2026,size_merlin,2,r2,0.3588
4,2026,size_merlin,3,r2,0.3023
4,2026,size_merlin,4,r2,0.3699
4,2026,size_merlin,5,r2,0.1378
4,2026,size_merlin,mean,r2,0.2893
5,2026,size_merlin,0,r2,0.4286
5,2026,size_merlin,1,r2,0.352
5,2026,size_merlin,2,r2,0.339
5,2026,size_merlin,3,r2,0.2475
5,2026,size_merlin,4,r2,0.3825
5,2026,size_merlin,5,r2,0.1444
5,2026,size_merlin,mean,r2,0.3157
6,2026,size_merlin,0,r2,0.425
6,2026,size_merlin,1,r2,0.3926
6,2026,size_merlin,2,r2,0.2128
6,2026,size_merlin,3,r2,0.2244
6,2026,size_merlin,4,r2,0.3796
6,2026,size_merlin,5,r2,0.1427
6,2026,size_merlin,mean,r2,0.2962
7,2026,size_merlin,0,r2,0.6019
7,2026,size_merlin,1,r2,0.5208
7,2026,size_merlin,2,r2,0.3142
7,2026,size_merlin,3,r2,0.2859
7,2026,size_merlin,4,r2,0.4168
7,2026,size_merlin,5,r2,0.1431
7,2026,size_merlin,mean,r2,0.3805
8,2026,size_merlin,0,r2,0.6038
8,2026,size_merlin,1,r2,0.5487
8,2026,size_merlin,2,r2,0.2679
8,2026,size_merlin,3,r2,0.2691
8,2026,size_merlin,4,r2,0.437
8,2026,size_merlin,5,r2,0.1614
8,2026,size_merlin,mean,r2,0.3813
9,2026,size_merlin,0,r2,0.6658
9,2026,size_merlin,1,r2,0.6104
9,2026,size_merlin,2,r2,0.292
9,2026,size_merlin,3,r2,0.2544
9,2026,size_merlin,4,r2,0.4055
9,2026,size_merlin,5,r2,0.1424
9,2026,size_merlin,mean,r2,0.3951
10,2026,size_merlin,0,r2,0.7029
10,2026,size_merlin,1,r2,0.6449
10,2026,size_merlin,2,r2,0.3007
10,2026,size_merlin,3,r2,0.3105
10,2026,size_merlin,4,r2,0.4521
10,2026,size_merlin,5,r2,0.1691
10,2026,size_merlin,mean,r2,0.43
1,2027,size_merlin,0,r2,0.1344
1,2027,size_merlin,1,r2,0.0604
1,2027,size_merlin,2,r2,0.1678
1,2027,size_merlin,3,r2,0.0311
1,2027,size_merlin,4,r2,0.2595
1,2027,size_merlin,5,r2,0.0477
1,2027,size_merlin,mean,r2,0.1168
2,2027,size_merlin,0,r2,0.2204
2,2027,size_merlin,1,r2,0.1432
2,2027,size_merlin,2,r2,0.3188
2,2027,size_merlin,3,r2,0.1721
2,2027,size_merlin,4,r2,0.2765
2,2027,size_merlin,5,r2,0.0636
2,2027,size_merlin,mean,r2,0.1991
3,2027,size_merlin,0,r2,0.2704
3,2027,size_merlin,1,r2,0.2124
3,2027,size_merlin,2,r2,0.366
3,2027,size_merlin,3,r2,0.2994
3,2027,size_merlin,4,r2,0.339
3,2027,size_merlin,5,r2,0.0976
3,2027,size_merlin,mean,r2,0.2641
4,2027,size_merlin,0,r2,0.3914
4,2027,size_merlin,1,r2,0.3268
4,2027,size_merlin,2,r2,0.3319
4,2027,size_merlin,3,r2,0.2987
4,2027,size_merlin,4,r2,0.3548
4,2027,size_merlin,5,r2,0.116
4,2027,size_merlin,mean,r2,0.3033
5,2027,size_merlin,0,r2,0.5162
5,2027,size_merlin,1,r2,0.4137
5,2027,size_merlin,2,r2,0.2853
5,2027,size_merlin,3,r2,0.255
5,2027,size_merlin,4,r2,0.4027
5,2027,size_merlin,5,r2,0.1399
5,2027,size_merlin,mean,r2,0.3355
6,2027,size_merlin,0,r2,0.6502
6,2027,size_merlin,1,r2,0.572
6,2027,size_merlin,2,r2,0.3021
6,2027,size_merlin,3,r2,0.2864
6,2027,size_merlin,4,r2,0.4281
6,2027,size_merlin,5,r2,0.1532
6,2027,size_merlin,mean,r2,0.3987
7,2027,size_merlin,0,r2,0.729
7,2027,size_merlin,1,r2,0.6561
7,2027,size_merlin,2,r2,0.3256
7,2027,size_merlin,3,r2,0.3118
7,2027,size_merlin,4,r2,0.4339
7,2027,size_merlin,5,r2,0.1602
7,2027,size_merlin,mean,r2,0.4361
8,2027,size_merlin,0,r2,0.7247
8,2027,size_merlin,1,r2,0.6571
8,2027,size_merlin,2,r2,0.3068
8,2027,size_merlin,3,r2,0.31
8,2027,size_merlin,4,r2,0.4389
8,2027,size_merlin,5,r2,0.1577
8,2027,size_merlin,mean,r2,0.4325
9,2027,size_merlin,0,r2,0.7449
9,2027,size_merlin,1,r2,0.6766
9,2027,size_merlin,2,r2,0.3337
9,2027,size_merlin,3,r2,0.3366
9,2027,size_merlin,4,r2,0.414
9,2027,size_merlin,5,r2,0.1494
9,2027,size_merlin,mean,r2,0.4425
10,2027,size_merlin,0,r2,0.7673
10,2027,size_merlin,1,r2,0.6886
10,2027,size_merlin,2,r2,0.3592
10,2027,size_merlin,3,r2,0.3688
10,2027,size_merlin,4,r2,0.4369
10,2027,size_merlin,5,r2,0.1684
10,2027,size_merlin,mean,r2,0.4649
1,2028,size_merlin,0,r2,0.09
1,2028,size_merlin,1,r2,0.0077
1,2028,size_merlin,2,r2,0.0976
1,2028,size_merlin,3,r2,0.0138
1,2028,size_merlin,4,r2,0.2227
1,2028,size_merlin,5,r2,0.024
1,2028,size_merlin,mean,r2,0.076
2,2028,size_merlin,0,r2,0.1725
2,2028,size_merlin,1,r2,0.0697
2,2028,size_merlin,2,r2,0.1815
2,2028,size_merlin,3,r2,0.003
2,2028,size_merlin,4,r2,0.2665
2,2028,size_merlin,5,r2,0.0439
2,2028,size_merlin,mean,r2,0.1228
3,2028,size_merlin,0,r2,0.2357
3,2028,size_merlin,1,r2,0.125
3,2028,size_merlin,2,r2,0.2535
3,2028,size_merlin,3,r2,0.0155
3,2028,size_merlin,4,r2,0.2256
3,2028,size_merlin,5,r2,0.046
3,2028,size_merlin,mean,r2,0.1502
4,2028,size_merlin,0,r2,0.3132
4,2028,size_merlin,1,r2,0.2234
4,2028,size_merlin,2,r2,0.2533
4,2028,size_merlin,3,r2,0.0341
4,2028,size_merlin,4,r2,0.1286
4,2028,size_merlin,5,r2,0.0197
4,2028,size_merlin,mean,r2,0.162
5,2028,size_merlin,0,r2,0.5141
5,2028,size_merlin,1,r2,0.429
5,2028,size_merlin,2,r2,0.229
5,2028,size_merlin,3,r2,0.0486
5,2028,size_merlin,4,r2,0.0742
5,2028,size_merlin,5,r2,0.0108
5,2028,size_merlin,mean,r2,0.2176
6,2028,size_merlin,0,r2,0.6339
6,2028,size_merlin,1,r2,0.539
6,2028,size_merlin,2,r2,0.254
6,2028,size_merlin,3,r2,0.0459
6,2028,size_merlin,4,r2,0.0912
6,2028,size_merlin,5,r2,0.0119
6,2028,size_merlin,mean,r2,0.2627
7,2028,size_merlin,0,r2,0.6875
7,2028,size_merlin,1,r2,0.5924
7,2028,size_merlin,2,r2,0.2765
7,2028,size_merlin,3,r2,0.0458
7,2028,size_merlin,4,r2,0.0846
7,2028,size_merlin,5,r2,0.0041
7,2028,size_merlin,mean,r2,0.2818
8,2028,size_merlin,0,r2,0.6961
8,2028,size_merlin,1,r2,0.6037
8,2028,size_merlin,2,r2,0.3007
8,2028,size_merlin,3,r2,0.0541
8,2028,size_merlin,4,r2,0.0967
8,2028,size_merlin,5,r2,0.0077
8,2028,size_merlin,mean,r2,0.2932
9,2028,size_merlin,0,r2,0.717
9,2028,size_merlin,1,r2,0.638
9,2028,size_merlin,2,r2,0.2943
9,2028,size_merlin,3,r2,0.0581
9,2028,size_merlin,4,r2,0.0833
9,2028,size_merlin,5,r2,0.0055
9,2028,size_merlin,mean,r2,0.2994
10,2028,size_merlin,0,r2,0.7389
10,2028,size_merlin,1,r2,0.6552
10,2028,size_merlin,2,r2,0.2913
10,2028,size_merlin,3,r2,0.0549
10,2028,size_merlin,4,r2,0.0765
10,2028,size_merlin,5,r2,0.0022
10,2028,size_merlin,mean,r2,0.3032
