budget	compressor	stage	epoch	clinical_f1
27	orcafull	s1	1	0.378211511
27	orcafull	s1	2	0.408932252
27	orcafull	s1	3	0.404009743
27	orcafull	s1	4	0.405810322
27	orcafull	s1	5	0.413438529
27	orcafull	s1	6	0.417760406
27	orcafull	s1	7	0.420174739
27	orcafull	s1	8	0.419003253
27	orcafull	s2	1	0.460893497
27	orcafull	s2	2	0.457683895
27	orcafull	s2	3	0.465765958
27	orcafull	s2	4	0.461142058
27	orcafull	s2	5	0.463370407
27	orcafull	s2	6	0.472178836
27	avgpack	s1	1	0.357773124
27	avgpack	s1	2	0.380448328
27	avgpack	s1	3	0.397028107
27	avgpack	s1	4	0.403819906
27	avgpack	s1	5	0.388530830
27	avgpack	s1	6	0.410471912
27	avgpack	s1	7	0.397541134
27	avgpack	s1	8	0.398413786
27	avgpack	s2	1	0.470152731
27	avgpack	s2	2	0.458444064
27	avgpack	s2	3	0.445242611
27	avgpack	s2	4	0.453741003
27	avgpack	s2	5	0.464738982
27	avgpack	s2	6	0.467748288
27	dins	s1	1	0.383241828
27	dins	s1	2	0.381833147
27	dins	s1	3	0.409058354
27	dins	s1	4	0.414104649
27	dins	s1	5	0.406213852
27	dins	s1	6	0.420972012
27	dins	s1	7	0.410160618
27	dins	s1	8	0.424207703
27	dins	s2	1	0.473718136
27	dins	s2	2	0.455984230
27	dins	s2	3	0.461734044
27	dins	s2	4	0.465395985
27	dins	s2	5	0.468686887
27	dins	s2	6	0.467185659
27	orca	s1	1	0.391119096
27	orca	s1	2	0.412830507
27	orca	s1	3	0.424250668
27	orca	s1	4	0.429027555
27	orca	s1	5	0.432349139
27	orca	s1	6	0.437467030
27	orca	s1	7	0.435758514
27	orca	s1	8	0.433621395
27	orca	s2	1	0.463773543
216	orcafull	s1	1	0.407385814
216	orcafull	s1	2	0.414765309
216	orcafull	s1	3	0.419094719
216	orcafull	s1	4	0.421404004
216	orcafull	s1	5	0.414918553
216	orcafull	s1	6	0.425019744
216	orcafull	s1	7	0.418519052
216	orcafull	s1	8	0.432006865
216	orcafull	s2	1	0.438861580
216	orcafull	s2	2	0.451222664
216	orcafull	s2	3	0.448413119
216	orcafull	s2	4	0.458646687
216	orcafull	s2	5	0.459810339
216	orcafull	s2	6	0.465435708
216	avgpack	s1	1	0.372221826
216	avgpack	s1	2	0.414436802
216	avgpack	s1	3	0.406457465
216	avgpack	s1	4	0.410508808
216	avgpack	s1	5	0.402302942
216	avgpack	s1	6	0.415653617
216	avgpack	s1	7	0.411856216
216	avgpack	s1	8	0.425646577
216	avgpack	s2	1	0.461306228
216	avgpack	s2	2	0.451401765
216	avgpack	s2	3	0.456393613
216	avgpack	s2	4	0.470582872
216	avgpack	s2	5	0.464515970
216	avgpack	s2	6	0.468521195
216	dins	s1	1	0.362979273
216	dins	s1	2	0.404003670
216	dins	s1	3	0.398814347
216	dins	s1	4	0.422022221
216	dins	s1	5	0.404152378
216	dins	s1	6	0.419849174
216	dins	s1	7	0.420613118
216	dins	s1	8	0.422983140
216	dins	s2	1	0.467024221
216	dins	s2	2	0.476154777
216	dins	s2	3	0.473386748
216	dins	s2	4	0.476772743
216	dins	s2	5	0.469352462
216	dins	s2	6	0.481443636
216	orca	s1	1	0.375071623
216	orca	s1	2	0.421596470
216	orca	s1	3	0.409753782
216	orca	s1	4	0.423142777
216	orca	s1	5	0.422843423
216	orca	s1	6	0.429480025
216	orca	s1	7	0.426343807
216	orca	s1	8	0.432675425
216	orca	s2	1	0.476577195
216	orca	s2	2	0.477260642
216	orca	s2	3	0.465649304
216	orca	s2	4	0.471990593
